Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Derivation,導出,"A Derivation connection asserts that one or more derivedRequirements are derived from a single originalRequirement. This means that any subject that satisfies the originalRequirement should, in itself or though other things related to it, satisfy each of the derivedRequirements.",A Derivation connection asserts that one or more derivedRequirements are derived from a single originalRequirement.,9.6.2.2.1,SysML2
derivations,導出使用,derivations is the base feature for Derivation ConnectionUsages.,derivations is the base feature for Derivation ConnectionUsages.,9.6.2.2.2,SysML2
derivedRequirements,導出要求,derivedRequirements are the derived requirements in Derivation connections.,derivedRequirements are the derived requirements in Derivation connections.,9.6.2.2.3,SysML2
originalRequirements,元要求,originalRequirements are the original requirements in Derivation connections.,originalRequirements are the original requirements in Derivation connections.,9.6.2.2.4,SysML2
DerivationMetadata,導出メタデータ,DerivationMetadata (short name derivation) is SemanticMetadata for a Derivation connection.,DerivationMetadata (short name derivation) is SemanticMetadata for a Derivation connection.,9.6.3.2.1,SysML2
DerivedRequirementMetadata,導出要求メタデータ,DerivedlRequirementMetadata (short name derive) identifies a Usage as a derived requirement. It is intended to be used to tag the derived requirement ends of a Derivation.,DerivedlRequirementMetadata (short name derive) identifies a Usage as a derived requirement.,9.6.3.2.2,SysML2
OriginalRequirementMetadata,元要求メタデータ,OriginalRequirementMetadata (short name original) identifies a Usage as an original requirement. It is intended to be used to tag the original requirement end of a Derivation.,OriginalRequirementMetadata (short name original) identifies a Usage as an original requirement.,9.6.3.2.3,SysML2
Geometry Domain Library,幾何ドメインライブラリ,The Geometry Domain Library contains a general library model of physical items with spatial extent and a library model of specific spatial items that represent basic geometric shapes.,The Geometry Domain Library contains a general library model of physical items with spatial extent and a library model of specific spatial items that represent basic geometric shapes.,9.7,SysML2
CurrentDisplacementOf,現在の変位,"The CurrentDisplacementOf two Points relative to a SpatialItem and a Clock is the DisplacementOf the Points relative to the SpacialItem, at the currentTime of the Clock.","The CurrentDisplacementOf two Points relative to a SpatialItem and a Clock is the DisplacementOf the Points relative to the SpacialItem, at the currentTime of the Clock.",9.7.2.2.1,SysML2
CurrentPositionOf,現在の位置,The CurrentPositionOf a Point relative to a SpatialItem and a Clock is the PositionOf the Point relative to the SpatialItem at the currentTime of the Clock.,The CurrentPositionOf a Point relative to a SpatialItem and a Clock is the PositionOf the Point relative to the SpatialItem at the currentTime of the Clock.,9.7.2.2.2,SysML2
DisplacementOf,変位,"The DisplacementOf two Points relative to a SpatialItem, at a specific TimeInstantValue relative to a given Clock, is the displacementVector computed as the difference between the PositionOf the first Point and PositionOf the second Point, relative to that SpatialItem, at that timeInstant","The DisplacementOf two Points relative to a SpatialItem, at a specific TimeInstantValue relative to a given Clock, is the displacementVector computed as the difference between the PositionOf the first Point and PositionOf the second Point, relative to that SpatialItem, at that timeInstant",9.7.2.2.3,SysML2
PositionOf,位置,"The PositionOf a Point relative to a SpatialItem, at a specific TimeInstantValue relative to a given Clock, as a positionVector that is a VectorQuantityValue in the coordinateFrame of the SpatialItem. The default Clock is the localClock of the SpatialItem.","The PositionOf a Point relative to a SpatialItem, at a specific TimeInstantValue relative to a given Clock, as a positionVector that is a VectorQuantityValue in the coordinateFrame of the SpatialItem.",9.7.2.2.4,SysML2
SpatialItem,空間アイテム,A SpatialItem is an Item with a three-dimensional spatial extent that also acts as a SpatialFrame of reference.,A SpatialItem is an Item with a three-dimensional spatial extent that also acts as a SpatialFrame of reference.,9.7.2.2.5,SysML2
Circle,円,A Circle is an Ellipse with semiaxes equal to its radius.,A Circle is an Ellipse with semiaxes equal to its radius.,9.7.3.2.1,SysML2
CircularCone,円錐,A CircularCone is a Cone with a circular base.,A CircularCone is a Cone with a circular base.,9.7.3.2.2,SysML2
CircularCylinder,円柱,A CircularCylinder is a Cylinder with two circular sides.,A CircularCylinder is a Cylinder with two circular sides.,9.7.3.2.3,SysML2
CircularDisc,円盤,A CircularDisc is a Disc bound by a Circle.,A CircularDisc is a Disc bound by a Circle.,9.7.3.2.4,SysML2
Cone,円錐 (楕円底),A Cone has one elliptical sides joined to a point by a curved side.,A Cone has one elliptical sides joined to a point by a curved side.,9.7.3.2.5,SysML2
ConeOrCylinder,円錐または円柱,"A ConeOrCylinder is a Cone or a Cylinder with a given elliptical base, height, width (perpendicular distance from the base to the center of the top side or vertex), and offsets of this perpendicular at the base from the center of the base.","A ConeOrCylinder is a Cone or a Cylinder with a given elliptical base, height, width (perpindicular distance from the base to the center of the top side or vertex), and offsets of this perpindicular at the base from the center of the base.",9.7.3.2.6,SysML2
ConicSection,円錐曲線,"A ConicSection is a closed PlanarCurve, possibly disconnected, see Hyperbola.","A ConicSection is a closed PlanarCurve, possibly disconnected, see Hyperbola.",9.7.3.2.7,SysML2
ConicSurface,円錐曲面,A ConicSurface is a Surface that has ConicSection cross-sections.,A ConicSurface is a Surface that has ConicSection cross-sections.,9.7.3.2.8,SysML2
Cuboid,直方体,"A Cuboid is a Polyhedron with six sides, all quadrilateral.","A Cuboid is a Polyhedron with six sides, all quadrilateral.",9.7.3.2.9,SysML2
CuboidOrTriangularPrism,直方体または三角柱,A CuboidOrTriangularPrism is a Polyhedron that is either a Cuboid or TriangularPrism.,A CuboidOrTriangularPrism is a Polyhedron that is either a Cuboid or TriangularPrism.,9.7.3.2.10,SysML2
Cylinder,円柱 (楕円底),A Cylinder has two elliptical sides joined by a curved side.,A Cylinder has two elliptical sides joined by a curved side.,9.7.3.2.11,SysML2
Disc,円盤 (楕円境界),A Disc is a Shell bound by an Ellipse.,A Disc is a Shell bound by an Ellipse.,9.7.3.2.12,SysML2
EccentricCone,偏心円錐,An EccentricCone is a Cone with least one positive offset.,An EccentricCone is a Cone with least one positive offset.,9.7.3.2.13,SysML2
EccentricCylinder,偏心円柱,An EccentricCylinder is a Cylinder,An EccentricCylinder is a Cylinder,9.7.3.2.14,SysML2
Ellipse,楕円,An Ellipse is a ConicSection in the shape of an ellipse of given semiaxes.,An Ellipse is a ConicSection in the shape of an ellipse of given semiaxes.,9.7.3.2.15,SysML2
Ellipsoid,楕円体,An Ellipsoid is a ConicSurface with only elliptical cross-sections.,An Ellipsoid is a ConicSurface with only elliptical cross-sections.,9.7.3.2.16,SysML2
Hyperbola,双曲線,A Hyperbola is a planar Path in the shape of a hyperbola with given axes.,A Hyperbola is a planar Path in the shape of a hyperbola with given axes.,9.7.3.2.17,SysML2
Hyperboloid,双曲面,A Hyperboloid is a ConicSurface with only hyperbolic cross-sections.,A Hyperboloid is a ConicSurface with only hyperbolic cross-sections.,9.7.3.2.18,SysML2
Line,線,A Line is a PlanarCurve that is straight.,A Line is a PlanarCurve that is straight.,9.7.3.2.19,SysML2
Parabola,放物線,A Parabola is a planar Path in the shape of a parabola of a given focal length.,A Parabola is a planar Path in the shape of a parabola of a given focal length.,9.7.3.2.20,SysML2
Paraboloid,放物面,A Paraboloid is a ConicSurface with only parabolic cross-sections.,A Paraboloid is a ConicSurface with only parabolic cross-sections.,9.7.3.2.21,SysML2
Path,パス,Path is the most general structured Curve.,Path is the most general structured Curve.,9.7.3.2.22,SysML2
PlanarCurve,平面曲線,A PlanarCurve is a Curve with a given length embeddable in a plane.,A PlanarCurve is a Curve with a given length embeddable in a plane.,9.7.3.2.23,SysML2
PlanarSurface,平面,A PlanarSurface is a Surface with given area that is flat.,A PlanarSurface is a Surface with given area that is flat.,9.7.3.2.24,SysML2
Polygon,多角形,A Polygon is a closed planar Path with straight edges.,A Polygon is a closed planar Path with straight edges.,9.7.3.2.25,SysML2
Polyhedron,多面体,A Polyhedron is a closed Shell with polygonal sides.,A Polyhedron is a closed Shell with polygonal sides.,9.7.3.2.26,SysML2
Pyramid,角錐,"A Pyramid is a Polyhedron with the sides of a polygon (base) forming the bases of triangles that join at an apex point. Its height is the perpindicular distance from the base to the apex, and its offsets are between this perpindicular at the base and the center of the base.",A Pyramid is a Polyhedron with the sides of a polygon (base) forming the bases of triangles that join at an apex point.,9.7.3.2.27,SysML2
Quadrilateral,四角形,A Quadrilateral is a four-sided Polygon.,A Quadrilateral is a four-sided Polygon.,9.7.3.2.28,SysML2
Rectangle,長方形,A Rectangle is a Quadrilateral with four right angles and given length and width.,A Rectangle is a Quadrilateral with four right angles and given length and width.,9.7.3.2.29,SysML2
RectangularCuboid,直方体 (長方形側面),A RectangularCuboid is a Cuboid with all Rectangular sides.,A RectangularCuboid is a Cuboid with all Rectangular sides.,9.7.3.2.30,SysML2
RectangularPyramid,長方形角錐,A RectangularPyramid is a Pyramid with a rectangular base.,A RectangularPyramid is a Pyramid with a rectangular base.,9.7.3.2.31,SysML2
RectangularToroid,長方形トーラス,A RectangularToroid is a revolution of a Rectangle.,A RectangularToroid is a revolution of a Rectangle.,9.7.3.2.32,SysML2
RightCircularCone,直円錐,A RightCircularCone is a CircularCone with zero offsets.,A RightCircularCone is a CircularCone with zero offsets.,9.7.3.2.33,SysML2
RightCircularCylinder,直円柱,A RightCircularCylinder is a CircularCylinder with zero offsets.,A RightCircularCylinder is a CircularCylinder with zero offsets.,9.7.3.2.34,SysML2
RightTriangle,直角三角形,A RightTriangle is a Triangle with edges opposite the hypotenuse at right angles.,A RightTriangle is a Triangle with edges opposite the hypotenuse at right angles.,9.7.3.2.35,SysML2
RightTriangularPrism,直角三角柱,"A RightTriangularPrism is a TriangularPrism with two right triangular sides, with given length, width, and height.","A RightTriangularPrism is a TriangularPrism with two right triangular sides, with given length, width, and height.",9.7.3.2.36,SysML2
Shell,シェル,Shell is the most general structured Surface.,Shell is the most general structured Surface.,9.7.3.2.37,SysML2
Sphere,球,A Sphere is an Ellipsoid with all the same semiaxes.,A Sphere is an Ellipsoid with all the same semiaxes.,9.7.3.2.38,SysML2
Tetrahedron,四面体,A Tetrahedron is Pyramid with a triangular base.,A Tetrahedron is Pyramid with a triangular base.,9.7.3.2.39,SysML2
Toriod,トーラス体,A Toroid is a surface generated from revolving a planar closed curve about an line coplanar with the curve. It is single sided with one hole.,A Toroid is a surface generated from revolving a planar closed curve about an line coplanar with the curve.,9.7.3.2.40,SysML2
Torus,トーラス,A Torus is a revolution of a Circle.,A Torus is a revolution of a Circle.,9.7.3.2.41,SysML2
Triangle,三角形,"A Triangle is three-sided Polygon with given length (base), width (perpindicular distance from base to apex), and offset of this perpindicular at the base from the center of the base.","A Triangle is three-sided Polygon with given length (base), width (perpindicular distance from base to apex), and offset of this perpindicular at the base from the center of the base.",9.7.3.2.42,SysML2
TriangularPrism,三角柱,"A TriangularPrism is a Polyhedron with five sides, two triangular and the others quadrilateral.","A TriangularPrism is a Polyhedron with five sides, two triangular and the others quadrilateral.",9.7.3.2.43,SysML2
Quantities and Units Domain Library,数量と単位ドメインライブラリ,"For any system model, a solid foundation for the representation of physical quantities, their units, scales, and quantity dimensions, as well as coordinate frames is essential.","The Quantities and Units Domain Library defines reusable and extensible model elements for physical quantities, including vector and tensor quantities, quantity dimensions, measurement units, measurement scales, coordinate frames, coordinate transformations and vector spaces.",9.8,SysML2
3dVectorQuantityValue,3次元ベクトル量値,Most general representation of real 3-vector quantities.,Most general representation of real 3-vector quantities.,9.8.2.2.1,SysML2
QuantityDimension,数量次元,"A QuantityDimension is the product of powers of the set of base quantities defined for a particular system of quantities, units and scales.","A QuantityDimension is the product of powers of the set of base quantities defined for a particular system of quantities, units and scales.",9.8.2.2.2,SysML2
QuantityPowerFactor,数量べき乗因子,"A QuantityPowerFactor is a representation of a quantity power factor, being the combination of a quantity and an exponent.","A QuantityPowerFactor is a representation of a quantity power factor, being the combination of a quantity and an exponent.",9.8.2.2.3,SysML2
scalarQuantities,スカラー量,AttributeUsage scalarQuantities : ScalarQuantityValue[*] nonunique is the subset of vectorQuantities that defines a top-level general self-standing attribute that can be used to consistently specify scalar quantities of Occurrences.,AttributeUsage scalarQuantities : ScalarQuantityValue[*] nonunique is the subset of vectorQuantities that defines a top-level general self-standing attribute that can be used to consistently specify scalar quantities of Occurrences.,9.8.2.2.4,SysML2
ScalarQuantityValue,スカラー量値,A ScalarQuantityValue is an abstract AttributeDefinition that specializes VectorQuantityValue. It represents a scalar quantity value as a tuple of a Number num and a ScalarMeasurementReference mRef. By definition it has order zero.,A ScalarQuantityValue is an abstract AttributeDefinition that specializes VectorQuantityValue.,9.8.2.2.5,SysML2
SystemOfQuantities,数量系,"A SystemOfQuantities represents the essentials of [VIM] concept ""system of quantities"" (https://jcgm.bipm.org/vim/en/1.3.html), defined as a ""set of base units and derived units, together with their multiples and submultiples, defined in accordance with given rules, for a given system of quantities"".","A SystemOfQuantities represents the essentials of [VIM] concept ""system of quantities"" (https://jcgm.bipm.org/vim/en/1.3.html), defined as a ""set of base units and derived units, together with their multiples and submultiples, defined in accordance with given rules, for a given system of quantities"".",9.8.2.2.6,SysML2
tensorQuantities,テンソル量,AttributeUsage tensorQuantities : TensorQuantityValue[*] nonunique defines a top-level general self-standing attribute that can be used to consistently specify quantities of Occurrences.,AttributeUsage tensorQuantities : TensorQuantityValue[*] nonunique defines a top-level general self-standing attribute that can be used to consistently specify quantities of Occurrences.,9.8.2.2.7,SysML2
TensorQuantityValue,テンソル量値,A TensorQuantityValue is an abstract AttributeDefinition and a specialization of Collections::Array that represents a tensor quantity value as a sequence of Numbers and a TensorMeasurementReference.,A TensorQuantityValue is an abstract AttributeDefinition and a specialization of Collections::Array that represents a tensor quantity value as a sequence of Numbers and a TensorMeasurementReference.,9.8.2.2.8,SysML2
vectorQuantities,ベクトル量,AttributeUsage vectorQuantities : VectorQuantityValue[*] nonunique is the subset of tensorQuantities that defines a top-level general self-standing attribute that can be used to consistently specify vector quantities of Occurrences.,AttributeUsage vectorQuantities : VectorQuantityValue[*] nonunique is the subset of tensorQuantities that defines a top-level general self-standing attribute that can be used to consistently specify vector quantities of Occurrences.,9.8.2.2.9,SysML2
VectorQuantityValue,ベクトル量値,A VectorQuantityValue is an AttributeDefinition that represents the value of a vector quantity by a tuple of Numbers and a VectorMeasurementReference. It is a specialization of TensorQuantityValue and has order one.,A VectorQuantityValue is an AttributeDefinition that represents the value of a vector quantity by a tuple of Numbers and a VectorMeasurementReference.,9.8.2.2.10,SysML2
Measurement References,測定参照,This package defines the general AttributeDefinitions and AttributeUsages to construct measurement references.,This package defines the general AttributeDefinitions and AttributeUsages to construct measurement references.,9.8.3,SysML2
3dCoordinateFrame,3次元座標系,"(No explicit description, but implied by context as a specific type of CoordinateFrame for 3D spatial coordinates.)",General Types: CoordinateFrame. Features: dimensions : Positive [0..1] {redefines dimensions}.,9.8.3.2.1,SysML2
AffineTransformationMatrix3d,3次元アフィン変換行列,AffineTransformationMatrix3d is a three dimensional CoordinateTransformation specified via an affine 4x4 transformation matrix,AffineTransformationMatrix3d is a three dimensional CoordinateTransformation specified via an affine 4x4 transformation matrix.,9.8.3.2.2,SysML2
ConversionByConvention,慣習による変換,ConversionByConvention is a UnitConversion that is defined according to some convention.,ConversionByConvention is a UnitConversion that is defined according to some convention.,9.8.3.2.3,SysML2
ConversionByPrefix,接頭辞による変換,"ConversionByPrefix is a UnitConversion that is defined through reference to a named [ISO/IEC 80000-1] UnitPrefix, which represents a conversion factor that is a decimal or binary multiple or sub-multiple.","ConversionByPrefix is a UnitConversion that is defined through reference to a named [ISO/IEC 80000-1] UnitPrefix, which represents a conversion factor that is a decimal or binary multiple or sub-multiple.",9.8.3.2.4,SysML2
CoordinateFrame,座標系,"A CoordinateFrame is a VectorMeasurementReference with the specific purpose to quantify (i.e., coordinatize) a vector space, and optionally locate and orient it with respect to another CoordinateFrame.","A CoordinateFrame is a VectorMeasurementReference with the specific purpose to quantify (i.e., coordinatize) a vector space, and optionally locate and orient it with respect to another CoordinateFrame.",9.8.3.2.5,SysML2
CoordinateFramePlacement,座標系配置,CoordinateFramePlacement is a CoordinateTransformation by placement of the target frame in the source frame. Attribute origin specifies the location of the origin of the target frame through a vector in the source frame. Attribute basisDirections specifies the orientation of the target frame by specifying the directions of the respective basis vectors of the target frame via direction vectors in the source frame.,CoordinateFramePlacement is a CoordinateTransformation by placement of the target frame in the source frame.,9.8.3.2.6,SysML2
CoordinateTransformation,座標変換,"A CoordinateTransformation is an AttributeDefinition that defines the transformation relationship between two coordinate systems, that are represented by VectorMeasurementReferences, typically CoordinateFrames.","A CoordinateTransformation is an AttributeDefinition that defines the transformation relationship between two coordinate systems, that are represented by VectorMeasurementReferences, typically CoordinateFrames.",9.8.3.2.7,SysML2
countQuantities,計数量,"(No explicit description, but implied as a feature for CountValue)","General Types: dimensionOneQuantities, CountValue. Features: None.",9.8.3.2.8,SysML2
CountValue,計数値,"CountValue is an explicit definition of a generic ""count"" quantity as a DimensionOneValue.","CountValue is an explicit definition of a generic ""count"" quantity as a DimensionOneValue.",9.8.3.2.9,SysML2
CyclicRatioScale,循環比率尺度,CyclicRationScale is a MeasurementScale that represents a ratio scale with a periodic cycle.,"CyclicRationScale is a MeasurementScale that represents a ratio scale with a periodic cycle. Example 1: ""cyclic degree"" (to express planar angular measures) with modulus 360 and unit 'degree'.",9.8.3.2.10,SysML2
DefinitionalQuantityValue,定義量値,"A DefinitionalQuantityValue is a representation of a particular quantity value that is used in the definition of a MeasurementReference. Typically such a particular value is defined by convention. It can be used to define a selected reference value, such as the meaning of zero on a measurement scale or the origin of a top-level coordinate system.",A DefinitionalQuantityValue is a representation of a particular quantity value that is used in the definition of a MeasurementReference.,9.8.3.2.11,SysML2
DerivedUnit,誘導単位,DerivedUnit is a MeasurementUnit that represents a measurement unit that depends on one or more powers of other measurement units.,DerivedUnit is a MeasurementUnit that represents a measurement unit that depends on one or more powers of other measurement units.,9.8.3.2.12,SysML2
dimensionOneQuantities,次元1数量,"(No explicit description, but implied as a feature for DimensionOneValue)","General Types: DimensionOneValue, scalarQuantities. Features: None.",9.8.3.2.13,SysML2
DimensionOneUnit,次元1単位,"DimensionOneUnit is an explicit definition of ""unit of dimension one"", also known as ""dimensionless unit"".","DimensionOneUnit is an explicit definition of ""unit of dimension one"", also known as ""dimensionless unit"".",9.8.3.2.14,SysML2
DimensionOneValue,次元1値,A DimensionOneValue is a ScalarQuantityValue with a DimensionOneUnit.,A DimensionOneValue is a ScalarQuantityValue with a DimensionOneUnit.,9.8.3.2.15,SysML2
IntervalScale,間隔尺度,"IntervalScale is a MeasurementScale that represents a linear interval measurement scale, i.e. a scale on which only intervals between two values are meaningful and not their ratios.","IntervalScale is a MeasurementScale that represents a linear interval measurement scale, i.e. a scale on which only intervals between two values are meaningful and not their ratios.",9.8.3.2.16,SysML2
LogarithmicScale,対数尺度,LogarithmicScale is a MeasurementScale that represents a logarithmic measurement scale that is defined as follows. The numeric value v of a ratio quantity expressed on a logarithmic scale equivalent with a value x of the same quantity expressed on a ratio scale (i.e. only using a MeasurementUnit) is computed as follows: \(v = f \cdot \log_b (x/x_{ref})^a \),LogarithmicScale is a MeasurementScale that represents a logarithmic measurement scale that is defined as follows. The numeric value v of a ratio quantity expressed on a logarithmic scale equivalent with a value x of the same quantity expressed on a ratio scale (i.e. only using a MeasurementUnit) is computed as follows: \(v = f \cdot \log_b (x/x_{ref})^a \),9.8.3.2.17,SysML2
MeasurementScale,測定尺度,MeasurementScale is a MeasurementReference that represents a measurement scale.,MeasurementScale is a MeasurementReference that represents a measurement scale.,9.8.3.2.18,SysML2
MeasurementUnit,測定単位,"A MeasurementUnit is a ScalarMeasurementReference that represents a measurement unit. As defined in [VIM] a measurement unit is a ""real scalar quantity, defined and adopted by convention, with which any other quantity of the same kind can be compared to express the ratio of the two quantities as a number"".",A MeasurementUnit is a ScalarMeasurementReference that represents a measurement unit.,9.8.3.2.19,SysML2
NullTransformation,ヌル変換,NullTransformation is an AffineTransformationMatrix3d that places the target CoordinateFrame at the same position and orientation as the source CoordinateFrame.,NullTransformation is an AffineTransformationMatrix3d that places the target CoordinateFrame at the same position and orientation as the source CoordinateFrame.,9.8.3.2.20,SysML2
nullTransformation,ヌル変換使用,"(No explicit description, but implied as a feature for NullTransformation)",General Types: NullTransformation. Features: None.,9.8.3.2.21,SysML2
one,1 (単位),"(No explicit description, but implied as a feature for DimensionOneUnit)",General Types: DimensionOneUnit. Features: None.,9.8.3.2.22,SysML2
OrdinalScale,順序尺度,"An OrdinalScale is a MeasurementScale that represents an ordinal measurement scale, i.e. a scale on which only the ordering of quantity values is meaningful, not the intervals between any pair of values and neither their ratio.","An OrdinalScale is a MeasurementScale that represents an ordinal measurement scale, i.e. a scale on which only the ordering of quantity values is meaningful, not the intervals between any pair of values and neither their ratio.",9.8.3.2.23,SysML2
QuantityValueMapping,数量値マッピング,QuantityValueMapping is an AttributeDefinition that represents the mapping of equivalent quantity values expressed on two different measurement scales.,QuantityValueMapping is an AttributeDefinition that represents the mapping of equivalent quantity values expressed on two different measurement scales.,9.8.3.2.24,SysML2
Rotation,回転,Representation of a rotation about an axis over an angle.,Representation of a rotation about an axis over an angle.,9.8.3.2.25,SysML2
