Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Comment,コメント,A comment is one kind of annotating element that is used to provide textual descriptions about other elements.,"`Comment = ( 'comment' Identification ( 'about' ownedRelationship += Annotation ( ',' ownedRelationship += Annotation )* )? )? ( 'locale' locale = STRING_VALUE )? body = REGULAR_COMMENT`",8.2.2.4.2,SysML2
Documentation,ドキュメンテーション,"Documentation is a distinguished kind of comment used to document the annotated element. Documentation comments always annotate a single element, which is their owning element.",`Documentation = 'doc' Identification ( 'locale' locale = STRING_VALUE )? body = REGULAR_COMMENT`,8.2.2.4.2,SysML2
TextualRepresentation,テキスト表現,A textual representation is an annotating element whose textual body provides a representation of the annotated element in a specifically named language.,`TextualRepresentation = ( 'rep' Identification )? 'language' language = STRING_VALUE body = REGULAR_COMMENT`,8.2.2.4.3,SysML2
Package,パッケージ,A package is a kind of namespace that is used solely as a container for other elements to organize the model.,`Package = ( ownedRelationship += PrefixMetadataMember )* PackageDeclaration PackageBody`,8.2.2.5.1,SysML2
LibraryPackage,ライブラリパッケージ,A library package is a package that is expected to be commonly available and reused across many user models.,`LibraryPackage = ( isStandard ?= 'standard' ) 'library' ( ownedRelationship += PrefixMetadataMember )* PackageDeclaration PackageBody`,8.2.2.5.1,SysML2
PackageDeclaration,パッケージ宣言,The declaration part of a package.,`PackageDeclaration : Package = 'package' Identification`,8.2.2.5.1,SysML2
PackageBody,パッケージボディ,The body of a package.,`PackageBody : Package = ';' | '{' PackageBodyElement* '}'`,8.2.2.5.1,SysML2
PackageBodyElement,パッケージボディ要素,An element within a package body.,`PackageBodyElement : Package = ownedRelationship += PackageMember | ownedRelationship += ElementFilterMember | ownedRelationship += AliasMember | ownedRelationship += Import`,8.2.2.5.1,SysML2
MemberPrefix,メンバープレフィックス,"A prefix for a member, including visibility.",`MemberPrefix : Membership = ( visibility = VisibilityIndicator )?`,8.2.2.5.1,SysML2
PackageMember,パッケージメンバー,An owned membership that is a package member.,`PackageMember : OwningMembership MemberPrefix ( ownedRelatedElement += DefinitionElement | ownedRelatedElement = UsageElement )`,8.2.2.5.1,SysML2
ElementFilterMember,要素フィルターメンバー,A membership with a filter condition.,`ElementFilterMember : ElementFilterMembership = MemberPrefix 'filter' ownedRelatedElement += OwnedExpression ';'`,8.2.2.5.1,SysML2
AliasMember,エイリアスメンバー,A non-owning membership that introduces an alias.,`AliasMember : Membership = MemberPrefix 'alias' ( '<' memberShortName = NAME '>' )? ( memberName = NAME )? 'for' memberElement = [QualifiedName] RelationshipBody`,8.2.2.5.1,SysML2
Import,インポート,An import relationship allows one namespace to import memberships from another namespace (see 7.5.3 ).,`Import = visibility = VisibilityIndicator 'import' ( isImportAll ?= 'all' )? ImportDeclaration RelationshipBody`,8.2.2.5.1,SysML2
ImportDeclaration,インポート宣言,The declaration part of an import.,`ImportDeclaration : Import = MembershipImport | NamespaceImport`,8.2.2.5.1,SysML2
MembershipImport,メンバーシップインポート,An import of a single membership.,`MembershipImport = importedMembership = [QualifiedName] ( '::' isRecursive ?= '**' )?`,8.2.2.5.1,SysML2
NamespaceImport,名前空間インポート,An import of all visible memberships from a namespace.,`NamespaceImport = importedNamespace = [QualifiedName] '::' '*' ( '::' isRecursive ?= '**' )?`,8.2.2.5.1,SysML2
DefinitionElement,定義要素,A kind of element that is a definition.,`DefinitionElement : Element = Package | LibraryPackage | AnnotatingElement | Dependency | AttributeDefinition |
