Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File,Source
Abstract syntax diagrams,抽象構文図,Diagrams that visually represent the abstract syntax of the SysML language.,"Its subclauses describe the modeling constructs in SysML, including for each a general overview, related abstract syntax diagrams and a description of the textual and graphical notation.",6.2,SysML2,6
Accept Action Usage,受信アクション使用,An accept action usage is declared as an action usage (see 7.17.2) implicitly defined by the action definition AcceptAction from the Actions library model (see 9.2.10).,accept reading : SensorReading via controller;,7.17.8,SysML2,7.17
Accept Action Usage (semantics),受信アクション使用 (意味論),An AcceptActionUsage is a kind of ActionUsage that specifies the acceptance of an incomingTransfer from the Occurrence given by the result of its receiverArgument Expression.,"The checkAcceptActionUsageSpecialization requires that (unless it is the triggerAction of a TransitionUsage, see 8.4.14.3 ) an AcceptActionUsage specialize the ActionUsage Actions::acceptActions (see 9.2.10.2.2 ), which is defined by the ActionDefinition Actions::AcceptAction (see 9.2.10.2.1 ) and subsets Actions::Action::actions (see 9.2.10.2.5 ) and the kernel Feature Transfers::acceptPerformances (see [KerML, 9.2.7]).",8.4.13.6,SysML2,8.4
AcceptAction,受信アクション,An AcceptAction is a AcceptMessageAction that waits for a payload or acceptedMessage of the specified kind to be accepted by a state transition nested in it.,An AcceptAction is a AcceptMessageAction that waits for a payload or acceptedMessage of the specified kind to be accepted by a state transition nested in it.,9.2.10.2.1,SysML2,9.2
acceptActions,受信アクション群,acceptActions is the base feature for all SendActionUsages.,acceptActions is the base feature for all SendActionUsages.,9.2.10.2.2,SysML2,9.2
acceptedMessage,受信メッセージ,The payload received from the incoming Transfer.,"acceptedMessage : MessageTransfer, MessageAction {redefines acceptedTransfer}",9.2.10.2.3,SysML2,9.2
acceptedMessage (TransitionAction),受信メッセージ (遷移アクション),"acceptedMessage : MessageTransfer, MessageAction {redefines trigger}","acceptedMessage : MessageTransfer, MessageAction {redefines trigger}",9.2.10.2.26,SysML2,9.2
accepter,受容アクション,"A transition usage can also have an accepter, which is an accept action usage use to trigger the transition.","A transition usage can also have an accepter, which is an accept action usage use to trigger the transition.",7.18.3,SysML2,7.18
accepter (DecisionTransitionAction),受信者 (決定遷移アクション),accepter : AcceptMessageAction [0] {redefines accepter},accepter : AcceptMessageAction [0] {redefines accepter},9.2.10.2.10,SysML2,9.2
accepter (TransitionAction),受信者 (遷移アクション),"accepter : AcceptMessageAction [0..1] {subsets subactions, redefines accept}","accepter : AcceptMessageAction [0..1] {subsets subactions, redefines accept}",9.2.10.2.26,SysML2,9.2
AcceptMessageAction,メッセージ受信アクション,"An AcceptMessageAction is an Action and AcceptPerformance that identifies an incomingTransferToSelf of a designated receiver Occurrence, providing its payload as output.","An AcceptMessageAction is an Action and AcceptPerformance that identifies an incomingTransferToSelf of a designated receiver Occurrence, providing its payload as output.",9.2.10.2.3,SysML2,9.2
AcceptPerformance (KerML),受信パフォーマンス (KerML),"AcceptPerformances are Performances that require an incomingTransferToSelf of a designated receiver Occurrence (defaulting to this), providing a payload as output.","AcceptPerformances are Performances that require an incomingTransferToSelf of a designated receiver Occurrence (defaulting to this), providing a payload as output.",9.2.7.2.1,KerML1,7.16
acceptSubactions,サブアクション受信,The subactions of this Action that are AcceptActions.,"acceptSubactions : AcceptAction [0..*] {subsets subactions, acceptActions}",9.2.10.2.4,SysML2,9.2
Across variables,アクロス変数,"Features of the ports on its ends that are constrained by conservation laws across the interface (e.g., Kirchhoff’s Laws).","When specifying an interface between electrical components, the across and through variables are port features defined as Voltage and Current quantities, respectively.",7.14.1,SysML2,7.14
Action,アクション,Action is the most general class of performances of ActionDefinitions in a system or part of a system.,Action is the base class of all ActionDefinitions.,9.2.10.2.4,SysML2,9.2
Action,アクション,"Parts may also perform actions (see 7.17 ) resulting in items flowing across the connections between them, and exhibit states (see 7.18 ) that enable different actions.","Parts may also perform actions (see 7.17 ) resulting in items flowing across the connections between them, and exhibit states (see 7.18 ) that enable different actions.",7.11.1,SysML2,7.11
Action,アクション,An action definition is a kind of occurrence definition (see 7.9) that classifies action performances. An action usage is a kind of occurrence usage that is a usage of one or more action definitions.,action def TakePicture { in scene : Scene; out picture : Picture; },7.17.1,SysML2,7.17
Action Definition,アクション定義,An action definition is a kind of occurrence definition (see 7.9) that classifies action performances.,action def ActionDef1;,"Table 15, p.119",SysML2,7.17
Action Definition (semantics),アクション定義 (意味論),An ActionDefinition is a kind of OccurrenceDefinition and a kind of KerML Behavior.,"The checkActionDefinitionSpecialization constraint requires that an ActionDefinition specialize the base ActionDefinition Actions::Action (see 9.2.10.2.4 ), which subclassifies the kernel Behavior Performances::Performance (see [KerML, 9.2.6]).",8.4.13.1,SysML2,8.4
Action Usage,アクション使用,An action usage is a kind of occurrence usage that is a usage of one or more action definitions.,action action1 : ActionDef1;,"Table 15, p.119",SysML2,7.17
Action Usage (semantics),アクション使用 (意味論),An ActionUsage is a kind of OccurrenceUsage and a kind of KerML Step.,"The checkActionUsageSpecialization requires that an ActionUsage specialize the base ActionUsage Actions::actions (see 9.2.10.2.5 ), which is defined by the ActionDefinition Actions::Action (see 9.2.10.2.4 ) and subsets the kernel Step Performances::performances (see [KerML, 9.2.6]).",8.4.13.2,SysML2,8.4
ActionFlowView,アクションフロービュー,ViewDefinition to present connections between actions.,"Valid nodes and edges in an ActionFlowView are: Actions with nested actions, Parameters with direction, Flow connection usages (e.g., kinds of transfers from output to input), Binding connections between parameters (e.g., delegate a parameter from one level of nesting to another), Proxy connection points, Swim lanes, Conditional succession, Control nodes (fork, join, decision, merge), Control structures, e.g., if-then-else, until-while-loop, for-loop, Send and accept actions, Change and time triggers, Compartments on actions and parameters.",9.2.20.2.1,SysML2,9.2
actions,アクション群,actions is the base feature for all ActionUsages.,actions is the base feature for all ActionUsages.,9.2.10.2.5,SysML2,9.2
Actions,アクション,"Actions performed by a part, including their temporal ordering (see 7.17 ).","The modeling of behavior, which specifies how parts interact and includes: Actions performed by a part, including their temporal ordering (see 7.17 ).",7.1,SysML2,7.1
actor (keyword),アクター (キーワード),"Similarly to the declaration of a subject parameter, these distinguished parameters are declared using the keyword actor rather than explicitly declaring their direction.",case def FaultRecovery { subject system : AutomationSystem; actor engineer : Person; objective { doc /* The engineer determines the cause of the system fault and resolves it returning the system to nominal operation. */ } },7.22.2,SysML2,7.22
Actor (parameter),アクター (パラメータ),An actor parameter represents a role played by an entity external to the subject of the requirement but necessary for the satisfaction of the requirement.,"For example, a requirement whose subject is a Vehicle may also specify an actor that is the Driving Environment.",7.21.1,SysML2,7.21
actor parameter (of a case),(ケースの)アクターパラメータ,A case definition or usage may also have one or more actor parameters that represent roles played by an entity external to the subject of the case but necessary to the specification of the case.,A case definition or usage may also have one or more actor parameters that represent roles played by an entity external to the subject of the case but necessary to the specification of the case.,7.22.1,SysML2,7.22
actor parameters,アクターパラメータ,A case definition or usage may also have one or more actor parameters that represent roles played by an entity external to the subject of the case but necessary to the specification of the case.,A case definition or usage may also have one or more actor parameters that represent roles played by an entity external to the subject of the case but necessary to the specification of the case.,7.25.1,SysML2,7.25
actors,アクター,The Parts that fill the role of actors for this RequirementCheck.,actors : Part [0..*],9.2.14.2.8,SysML2,9.2
actors (Case),アクター (ケース),The Parts that fill the role of actors for this Case.,actors : Part [0..*],9.2.15.2.1,SysML2,9.2
AffineTransformationMatrix3d,3次元アフィン変換行列,AffineTransformationMatrix3d is a three dimensional CoordinateTransformation specified via an affine 4x4 transformation matrix,AffineTransformationMatrix3d is a three dimensional CoordinateTransformation specified via an affine 4x4 transformation matrix.,9.8.3.2.2,SysML2,9.4
AffineTransformationMatrix3d,3次元アフィン変換行列,AffineTransformationMatrix3d is a three dimensional CoordinateTransformation specified via an affine 4x4 transformation matrix,AffineTransformationMatrix3d is a three dimensional CoordinateTransformation specified via an affine 4x4 transformation matrix,9.8.3.2.2,SysML2,9.8
alias,エイリアス,"A non-owning membership of an element in a namespace, which may or may not be the same namespace that owns the element.","An alias for an element is a non-owning membership of the element in a namespace, which may or may not be the same namespace that owns the element.",7.5.2,SysML2,7.5
alias IDs,エイリアスID,"An element may also have additional identifiers, its alias IDs, which may be assigned for tool-specific purposes.","An element may also have additional identifiers, its alias IDs, which may be assigned for tool-specific purposes.",7.2.2,SysML2,7.2-7.3
alias names,エイリアス名,Alternative names for an element relative to one or more namespaces.,"Instead, an element can be given a name and/or a short name, and it can also have any number of alias names relative to one or more namespaces (see 7.5 ).",7.5.1,SysML2,7.5
AliasMember,エイリアスメンバー,A non-owning membership that introduces an alias.,`AliasMember : Membership = MemberPrefix 'alias' ( '<' memberShortName = NAME '>' )? ( memberName = NAME )? 'for' memberElement = [QualifiedName] RelationshipBody`,8.2.2.5.1,SysML2,8.2
AliasMember,エイリアスメンバー,An AliasMember is a Membership that introduces an alias name for an Element in a Namespace.,An AliasMember is a Membership that introduces an alias name for an Element in a Namespace.,8.3.5.10,SysML2,8.3
allocate (keyword),allocate (キーワード),"Shorthand notations similar to those for connection usages, as described in see 7.13.2 , may also be used for allocation usages, but using the keyword allocate instead of connect.","Shorthand notations similar to those for connection usages, as described in see 7.13.2 , may also be used for allocation usages, but using the keyword allocate instead of connect. If the declaration part of the allocation usage is empty when using this notation, then the keyword allocation may be omitted.",7.15.2,SysML2,7.15
Allocation,割り当て,"As used by systems engineers, an allocation denotes a ""mapping"" across the various structures and hierarchies of a system model.",Allocations can provide an effective means for navigating a model by establishing cross relationships and ensuring that various parts of the model are properly integrated.,7.15.1,SysML2,7.15
Allocation,割り当て,"Allocation is the most general class of allocations, represented as a connection between the source of the allocation and the target.",Allocation is the base type of all AllocationDefinitions.,9.2.8.2.1,SysML2,9.2
Allocation (base definition),Allocation (基本定義),The base allocation definition and usage are Allocation and allocations from the Allocations library model (see 9.2.8 ).,The base allocation definition and usage are Allocation and allocations from the Allocations library model (see 9.2.8 ).,7.15.2,SysML2,7.15
allocation (keyword),allocation (キーワード),"An allocation definition or usage is declared like a connection definition or usage (see 7.13.2 ), but using the kind keyword allocation.","An allocation definition or usage is declared like a connection definition or usage (see 7.13.2 ), but using the kind keyword allocation.",7.15.2,SysML2,7.15
Allocation Definition,割り当て定義,An allocation definition is a connection definition (see 7.13 ) that specifies that a target element is responsible for realizing some or all of the intent of the source element.,An allocation definition or usage can be further refined using nested allocation usages that provide a finer-grained decomposition of the containing allocation.,7.15.1,SysML2,7.15
Allocation Definition (semantics),割り当て定義 (意味論),An AllocationDefinition is a ConnectionDefinition that specifies that some or all of the responsibility to realize the intent of the source is allocated to the target instances.,"The checkAllocationDefinitionSpecialization constraint requires that an AllocationDefinition specialize the base AllocationDefinition Allocations::Allocation (see 9.2.8.2.1 ), which subclassifies the ConnectionDefinition Connection::BinaryConnection (see 9.2.6.2.1 ).",8.4.11.1,SysML2,8.4
Allocation Usage,割り当て使用,An allocation usage is a usage of one or more allocation definitions.,An allocation usage is a usage of one or more allocation definitions.,7.15.1,SysML2,7.15
Allocation Usage (semantics),割り当て使用 (意味論),An AllocationUsage is a kind of binary ConnectionUsage whose connectionDefinitions are syntactically restricted to to be only AllocationDefinitions.,"The checkAllocationUsageSpecialization constraint requires that an AllocationUsage specialize the base AllocationUsage Allocations::allocations (see 9.2.8.2.2 ), which is defined by the AllocationDefinition Allocations::Allocation (see 9.2.8.2.1 ) and subsets the ConnectionUsage Connection::binaryConnections (see 9.2.6.2.4 ) (see 9.2.6.2.2 ).",8.4.11.2,SysML2,8.4
Allocations,割り当て,Allocations that assign responsibility for realizing the features of one element by another element (see 7.15 ).,"The modeling of structure to represent how parts are decomposed, interconnected and classified, and includes: Allocations that assign responsibility for realizing the features of one element by another element (see 7.15 ).",7.1,SysML2,7.1
allocations,割り当て群,allocations is the base feature of all ConnectionUsages.,allocations is the base feature of all ConnectionUsages.,9.2.8.2.2,SysML2,9.2
allocations (base usage),allocations (基本使用),The base allocation definition and usage are Allocation and allocations from the Allocations library model (see 9.2.8 ).,The base allocation definition and usage are Allocation and allocations from the Allocations library model (see 9.2.8 ).,7.15.2,SysML2,7.15
amountOfSubstance,物質量,"(No explicit description, but implied as a feature for AmountOfSubstanceValue)","General Types: AmountOfSubstanceValue, scalarQuantities. Features: None.",9.8.4.2.1,SysML2,9.4
amountOfSubstance,物質量,amountOfSubstance is a ScalarQuantityValue attribute usage.,amountOfSubstance is a ScalarQuantityValue attribute usage.,9.8.4.2.1,SysML2,9.8
AmountOfSubstanceUnit,物質量単位,AmountOfSubstanceUnit is a SimpleUnit attribute definition.,AmountOfSubstanceUnit is a SimpleUnit attribute definition.,9.8.4.2.2,SysML2,9.8
AmountOfSubstanceUnit,物質量単位,"(No explicit description, but implied as a SimpleUnit for amountOfSubstance)",General Types: SimpleUnit. Features: None.,9.8.4.2.2,SysML2,9.4
AmountOfSubstanceValue,物質量値,"(No explicit description, but implied as a ScalarQuantityValue for amountOfSubstance)",General Types: ScalarQuantityValue. Features: mRef : AmountOfSubstanceUnit {redefines mRef}.,9.8.4.2.3,SysML2,9.4
AmountOfSubstanceValue,物質量値,AmountOfSubstanceValue is a ScalarQuantityValue attribute definition.,AmountOfSubstanceValue is a ScalarQuantityValue attribute definition.,9.8.4.2.3,SysML2,9.8
Analysis Case Definition (semantics),分析ケース定義 (意味論),An AnalysisCaseDefinition is a kind of CaseDefinition.,"The checkAnalysisCaseDefinitionSpecialization constraint requires that an AnalysisCaseDefinition specialize the base AnalysisCaseDefinition AnalysisCases::AnalysisCase (see 9.2.16.2.1 ), which subclassifies the CaseDefinition Cases::Case (see 9.2.15.2.1 ).",8.4.19.1,SysML2,8.4
Analysis Case Usage (semantics),分析ケース使用 (意味論),An AnalysisCaseUsage is a kind of CaseUsage.,"The checkAnalysisCaseUsageSpecialization constraint requires that an AnalysisCaseUsage specialize the base AnalysisCaseUsage AnalysisCases::analysisCases (see 9.2.16.2.2 ), which is defined by the AnalysisCaseDefinition AnalysisCases::AnalysisCase (see 9.2.16.2.1 ) and subsets the CaseUsage Cases::cases (see 9.2.15.2.2 ).",8.4.19.2,SysML2,8.4
analysis cases,分析ケース,(Implicitly defined as a type of case used to analyze a system),"This includes representing the requirements, structure, and behavior of the system, and the specification of analysis cases and verification cases used to analyze and verify the system.",1,SysML2,1
Analysis cases,分析ケース,"Analysis cases, whose steps are the actions necessary to analyze a subject (see 7.23 ).","The modeling of cases, which define the steps required to produce a desired result relative to a subject, possibly also involving external actors, to achieve a specific objective (see 7.22 ), including: Analysis cases, whose steps are the actions necessary to analyze a subject (see 7.23 ).",7.1,SysML2,7.1
Analysis Domain Library,解析ドメインライブラリ,The Analysis Domain Library provides library models supporting the modeling of analysis cases (see 7.23 ) and related analysis tasks.,The Analysis Domain Library provides library models supporting the modeling of analysis cases (see 7.23 ) and related analysis tasks.,9.4,SysML2,9.4
Analysis Domain Library,分析ドメインライブラリ,"The Analysis Domain Library contains models of concepts useful in carrying out analyses of systems. In particular, it includes frameworks for state space representation of systems and for performing trade-off studies (see 9.4 ).","The Analysis Domain Library contains models of concepts useful in carrying out analyses of systems. In particular, it includes frameworks for state space representation of systems and for performing trade-off studies (see 9.4 ).",9.1,SysML2,9.1
AnalysisCase,分析ケース,AnalysisCase is the most general class of performances of AnalysisCaseDefinitions.,AnalysisCase is the base class of all AnalysisCaseDefinitions.,9.2.16.2.1,SysML2,9.2
analysisCases,分析ケース群,analysisCases is the base feature of all AnalysisCaseUsages.,analysisCases is the base feature of all AnalysisCaseUsages.,9.2.16.2.2,SysML2,9.2
analyze,分析,analyze,analyze,9.2.17.2.7,SysML2,9.2
AngularMeasureValue,角量値,AngularMeasureValue is a ScalarQuantityValue attribute definition.,AngularMeasureValue is a ScalarQuantityValue attribute definition.,9.8.4.2.4,SysML2,9.8
AngularMeasureValue,角度測定値,"(No explicit description, but implied as a ScalarQuantityValue for angular measure)",General Types: None. Features: None.,9.8.4.2.4,SysML2,9.4
annotated element,注釈対象要素,An annotation is a relationship between an annotating element and an annotated element that is being described.,"An annotating element can annotate multiple annotated elements, and each element can have multiple annotations.",7.4.1,SysML2,7.4
Annotated elements,注釈付き要素,"One or more annotated elements can be identified for the metadata usage after the keyword about, indicating that the metadata usage has annotation relationships to each of the identified elements (see also 7.4 on annotation relationships).","metadata securityDesignAnnotation : SecurityRelated about SecurityRequirements, SecurityDesign;",7.27.2,SysML2,7.27
annotating element,注釈要素,An annotating element is an element that is used to provide additional information about other elements. An annotation is a relationship between an annotating element and an annotated element that is being described.,An annotating element is an element that is used to provide additional information about other elements.,7.4.1,SysML2,7.4
AnnotatingElement,アノテーション要素,An annotating element is an element that is used to provide additional information about other elements.,`AnnotatingElement = Comment | Documentation | TextualRepresentation | MetadataFeature`,8.2.2.4.1,SysML2,8.2
AnnotatingElement,注釈要素,"An AnnotatingElement is an Element that provides additional description of or metadata on some other Element. An AnnotatingElement is either attached to its annotatedElements by Annotation Relationships, or it implicitly annotates its owningNamespace.",An AnnotatingElement is an Element that provides additional description of or metadata on some other Element.,8.3.4.2,SysML2,8.3
annotation,注釈 (関係性),An annotation is a relationship between an annotating element and an annotated element that is being described.,"An annotating element can annotate multiple annotated elements, and each element can have multiple annotations.",7.4.1,SysML2,7.4
Annotation,アノテーション,An annotating element is an element that is used to provide additional information about other elements. An annotation is a relationship between an annotating element and an annotated element that is being described.,`Annotation = annotatedElement = [QualifiedName]`,8.2.2.4.1,SysML2,8.2
Annotation,注釈,An Annotation is a Relationship between an AnnotatingElement and the Element that is annotated by that AnnotatingElement.,An Annotation is a Relationship between an AnnotatingElement and the Element that is annotated by that AnnotatingElement.,8.3.4.3,SysML2,8.3
Annotations,注釈,"Annotations for attaching metadata to a model, including comments and textual representations (see 7.4).","SysML directly uses the following concepts from KerML: Annotations for attaching metadata to a model, including comments and textual representations (see 7.4).",7.4.1,SysML2,7.4
Annotations,アノテーション,"Annotations for attaching metadata to a model, including comments and textual representations (see 7.4 ).","SysML directly uses the following concepts from KerML: Annotations for attaching metadata to a model, including comments and textual representations (see 7.4 ).",7.1,SysML2,7.1
asElementTable,要素テーブルとして,"asElementTable renders a View as a table, with one row for each exposed Element and columns rendered by applying the columnViews in order to the Element in each row.","asElementTable renders a View as a table, with one row for each exposed Element and columns rendered by applying the columnViews in order to the Element in each row.",9.2.19.2.1,SysML2,9.2
asInterconnectionDiagram,相互接続図として,"asInterconnectionDiagram renders a View as an interconnection diagram, using the graphical notation defined in the SysML specification.","asInterconnectionDiagram renders a View as an interconnection diagram, using the graphical notation defined in the SysML specification.",9.2.19.2.2,SysML2,9.2
Assert Constraint Usage,アサート制約使用,An assert constraint usage asserts that the result of a given constraint must be always true at all times.,assert constraint { computedMass >= 0[kg] },7.20.1,SysML2,7.20
Assert Constraint Usage (semantics),アサート制約使用 (意味論),An AssertConstraintUsage is a kind of ConstraintUsage and a kind of KerML Invariant.,"The checkAssertConstraintUsageSpecialization constraint requires that an AssertConstraintUsage specialize one of the following: If the AssertConstraintUsage is not negated, ConstraintUsage Constraints::assertedConstraintChecks (see 9.2.13.2.1 ), which subsets the ConstraintUsage Constraints::constraintChecks (see 9.2.13.2.3 ) and the kernel Expression Performances::trueEvaluations (see [KerML, 9.2.6]).",8.4.16.3,SysML2,8.4
Asserted,アサートされる,An assert constraint usage asserts that the result of a given constraint must be always true at all times.,"Constraints associated with the laws of physics, for example, should be asserted to be true, because they cannot be violated in any valid model of the real world.",7.20.1,SysML2,7.20
assertedConstraintChecks,アサート済み制約チェック,assertedConstraintChecks is the subset of constraintChecks for ConstraintChecks asserted to be true.,assertedConstraintChecks is the subset of constraintChecks for ConstraintChecks asserted to be true.,9.2.13.2.1,SysML2,9.2
Assignment Action Usage,代入アクション使用,An assignment action usage is used to change the value of a referent feature of a target occurrence.,assign sim.vehicle.position := sim.vehicle.position + sim.vehicle.velocity * deltaT;,7.17.9,SysML2,7.17
Assignment Action Usage (semantics),割り当てアクション使用 (意味論),"An AssignmentActionUsage is an ActionUsage that is defined, directly or indirectly, by the ActionDefinition AssignmentAction from the Systems Model Library.","The checkAssignmentActionUsageSpecialization requires that an AssignmentActionUsage specialize the ActionUsage Actions::assignmentActions (see 9.2.10.2.7 ), which is defined by the ActionDefinition Actions::AssignmentAction (see 9.2.10.2.6 ) and subsets Actions::Action::actions (see 9.2.10.2.5 ).",8.4.13.7,SysML2,8.4
AssignmentAction,割り当てアクション,An AssignmentAction is an Action used to type an AssignmentActionUsage.,It is also a FeatureWritePerformance that updates the accessedFeature of its target Occurrence with the given replacementValues.,9.2.10.2.6,SysML2,9.2
assignmentActions,割り当てアクション群,assignmentActions is the base feature for all AssignmentActionUsages.,assignmentActions is the base feature for all AssignmentActionUsages.,9.2.10.2.7,SysML2,9.2
assignments,割り当て,The subactions of this Action that are AssignmentActions.,assignments : AssignmentAction [0..*] {subsets subactions},9.2.10.2.4,SysML2,9.2
Assumed Constraint,仮定制約,"The owned ConstraintUsages that represent assumptions of this RequirementDefinition, derived as the ownedConstraints of the RequirementConstraintMemberships of the RequirementDefinition with kind = assumption.",A requirement definition may also optionally include assumed constraints.,7.21.1,SysML2,7.21
assumptions,仮定,The checks of assumptions that must hold for the required constraints to apply.,assumptions : ConstraintCheck [0..*] {ordered},9.2.14.2.8,SysML2,9.2
asTextualNotation,テキスト表記として,asTextualNotation renders a View into textual notation as defined in the KerML and SysML specifications.,asTextualNotation renders a View into textual notation as defined in the KerML and SysML specifications.,9.2.19.2.3,SysML2,9.2
asTreeDiagram,ツリー図として,"asTreeDiagram renders a View as a tree diagram, using the graphical notation defined in the SysML specification.","asTreeDiagram renders a View as a tree diagram, using the graphical notation defined in the SysML specification.",9.2.19.2.4,SysML2,9.2
atto,アト,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,atto a 10-18,9.8.5.1,SysML2,9.8
atto,アット,"(No explicit description, but implied as a UnitPrefix for 10^-18)","Name: atto, Symbol: a, Value: 10^-18",9.8.5.2,SysML2,9.4
Attribute,属性,"Attributes that specify characteristics of something that can be defined by simple or compound data types, and dimensional quantities such as mass, length, etc.","The modeling of attributive information about things, including: Attributes that specify characteristics of something that can be defined by simple or compound data types, and dimensional quantities such as mass, length, etc. (see 7.7 ).",7.6.1,SysML2,7.6
attribute (keyword),属性 (キーワード),"An attribute definition is declared as described in 7.6.2 , using the kind keyword attribute.","An attribute definition is declared as described in 7.6.2 , using the kind keyword attribute.",7.7.2,SysML2,7.7
Attribute Definition,属性定義,"An attribute definition defines a set of data values, such as numbers, quantitative values with units, qualitative values such as text strings, or data structures of such values.","An attribute definition defines a set of data values, such as numbers, quantitative values with units, qualitative values such as text strings, or data structures of such values.",7.7.1,SysML2,7.7
Attribute Definition (semantics),属性定義 (意味論),An AttributeDefinition is a kind of Definition and a kind of KerML DataType.,"The base AttributeDefinition Attributes::AttributeValue (see 9.2.2.2.1 ) is just an alias for the KerML DataType Base::DataValue (see [KerML, 9.2.2]).",8.4.3.1,SysML2,8.4
Attribute Usage,属性使用,An attribute usage is a usage of an attribute definition.,An attribute usage is a usage of an attribute definition.,7.7.1,SysML2,7.7
Attribute Usage (semantics),属性使用 (意味論),An AttributeUsage is a kind of Usage that is syntactically required to be defined only by DataTypes (including AttributeDefinitions).,"The base AttributeUsage Attributes::attributeValues (see 9.2.2.2.2 ) is an alias for the KerML Feature Base::dataValues (see [KerML, 9.2.2]).",8.4.3.2,SysML2,8.4
AttributeDefinition,属性定義,An AttributeDefinition is a Definition and a DataType of information about a quality or characteristic of a system or part of a system that has no independent identity other than its value. All features of an AttributeDefinition must be referential (non-composite).,An AttributeDefinition is a Definition and a DataType of information about a quality or characteristic of a system or part of a system that has no independent identity other than its value.,8.3.7.2,SysML2,8.3
Attributes,属性,"Attributes that specify characteristics of something that can be defined by simple or compound data types, and dimensional quantities such as mass, length, etc. (see 7.7 ).","The modeling of attributive information about things, including: Attributes that specify characteristics of something that can be defined by simple or compound data types, and dimensional quantities such as mass, length, etc. (see 7.7 ).",7.1,SysML2,7.1
AttributeUsage,属性使用,"An AttributeUsage is a Usage whose type is a DataType. Nominally, if the type is an AttributeDefinition, an AttributeUsage is a usage of a AttributeDefinition to represent the value of some system quality or characteristic. However, other kinds of kernel DataTypes are also allowed, to permit use of DataTypes from the Kernel Model Libraries. An AttributeUsage itself as well as all its nested features must be referential (non-composite).",An AttributeUsage is a Usage whose type is a DataType.,8.3.7.3,SysML2,8.3
AttributeValue,属性値,AttributeValue is the most general type of data values that represent qualities or characteristics of a system or part of a system.,AttributeValue is the base type of all AttributeDefinitions.,9.2.2.2.1,SysML2,9.2
AttributeValue (base attribute definition),属性値 (基本属性定義),"The base attribute definition is AttributeValue from the Attributes library model (see 9.2.2 ), which is simply an alias for the data type DataValue from the KerML Base library model (see [KerML, 9.2.2]).","The base attribute definition is AttributeValue from the Attributes library model (see 9.2.2 ), which is simply an alias for the data type DataValue from the KerML Base library model (see [KerML, 9.2.2]).",7.7.2,SysML2,7.7
attributeValues,属性値群,attributeValues is the base feature for all AttributeUsages.,attributeValues is the base feature for all AttributeUsages.,9.2.2.2.2,SysML2,9.2
