Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Interface Definition (semantics),インターフェース定義 (意味論),An InterfaceDefinition is a kind of ConnectionDefinition whose connectionEnds are syntactically restricted to to be PortUsages.,"The checkInterfaceDefinitionSpecialization constraint requires that an InterfaceDefinition specialize the base InterfaceDefinition Interfaces::Interface (see 9.2.7.2.3 ), which subclassifies the ConnectionDefinition Connection::Connection (see 9.2.6.2.3 ).",8.4.10.1,SysML2
Interface Usage (semantics),インターフェース使用 (意味論),An InterfaceUsage is a kind of ConnectionUsage whose connectionDefinitions are syntactically restricted to to be only InterfaceDefinitions.,"The checkInterfaceUsageSpecialization constraint requires that an InterfaceUsage specialize the base InterfaceUsage Interfaces::interfaces (see 9.2.7.2.4 ), which is defined by the InterfaceDefinition Interfaces::Interface (see 9.2.7.2.3 ) and subsets the ConnectionUsage Connection::connections (see 9.2.6.2.4 ).",8.4.10.2,SysML2
Allocation Definition (semantics),割り当て定義 (意味論),An AllocationDefinition is a ConnectionDefinition that specifies that some or all of the responsibility to realize the intent of the source is allocated to the target instances.,"The checkAllocationDefinitionSpecialization constraint requires that an AllocationDefinition specialize the base AllocationDefinition Allocations::Allocation (see 9.2.8.2.1 ), which subclassifies the ConnectionDefinition Connection::BinaryConnection (see 9.2.6.2.1 ).",8.4.11.1,SysML2
Allocation Usage (semantics),割り当て使用 (意味論),An AllocationUsage is a kind of binary ConnectionUsage whose connectionDefinitions are syntactically restricted to to be only AllocationDefinitions.,"The checkAllocationUsageSpecialization constraint requires that an AllocationUsage specialize the base AllocationUsage Allocations::allocations (see 9.2.8.2.2 ), which is defined by the AllocationDefinition Allocations::Allocation (see 9.2.8.2.1 ) and subsets the ConnectionUsage Connection::binaryConnections (see 9.2.6.2.4 ) (see 9.2.6.2.2 ).",8.4.11.2,SysML2
Flow Definition (semantics),フロー定義 (意味論),"A FlowDefinition is a kind of ActionDefinition, and a kind of KerML Interaction.","The checkFlowDefinitionSpecialization constraint requires that a FlowDefinition specialize the base FlowDefinition Flows::MessageAction (see 9.2.9.2.4 ), which subclassifies the ActionDefinition Actions::Action (see 9.2.10.2.4 ), as well as the kernel Association Links::Link (see [KerML, 9.2.3]).",8.4.12.1,SysML2
Flow Usage (semantics),フロー使用 (意味論),A FlowUsage is a kind of ActionUsage and a kind of KerML Flow that is syntactically restricted to be defined by only KerML Interactions (including FlowDefinitions).,"The checkFlowUsageSpecification constraint requires that a FlowUsage specialize the base FlowUsage Flows::messages (see 9.2.9.2.5 ), which is typed by the FlowDefinition Flows::Message (see 9.2.9.2.3 ) and subsets the ActionUsage Actions::actions (see 9.2.10.2.5 ), and the kernel Step Transfers::transfers (see [KerML, 9.2.7]).",8.4.12.2,SysML2
Succession Flow Usage (semantics),継承フロー使用 (意味論),A SuccessionFlowUsage is a kind of FlowUsage and a kind of KerML SuccessionFlow.,"The checkSuccessionFlowUsageSpecialization constraint requires that it specialize the FlowUsage Flows::successionFlows (see 9.2.9.2.7 ), which is defined by the FlowConnectionDefinition SuccessionFlowConnection (see 9.2.9.2.6 ; see also 8.4.12.1 ) and subsets the FlowUsage Flows::flows (see 9.2.9.2.2 ) and the kernel Step flowTransfersBefore (see [KerML, 9.2.7]).",8.4.12.3,SysML2
Action Definition (semantics),アクション定義 (意味論),An ActionDefinition is a kind of OccurrenceDefinition and a kind of KerML Behavior.,"The checkActionDefinitionSpecialization constraint requires that an ActionDefinition specialize the base ActionDefinition Actions::Action (see 9.2.10.2.4 ), which subclassifies the kernel Behavior Performances::Performance (see [KerML, 9.2.6]).",8.4.13.1,SysML2
Action Usage (semantics),アクション使用 (意味論),An ActionUsage is a kind of OccurrenceUsage and a kind of KerML Step.,"The checkActionUsageSpecialization requires that an ActionUsage specialize the base ActionUsage Actions::actions (see 9.2.10.2.5 ), which is defined by the ActionDefinition Actions::Action (see 9.2.10.2.4 ) and subsets the kernel Step Performances::performances (see [KerML, 9.2.6]).",8.4.13.2,SysML2
Decision Transition Usage (semantics),決定遷移使用 (意味論),"A Succession in the body of an ActionDefinition or ActionUsage may be syntactically declared with a guard Expression. In this case, it is actually parsed as a TransitionUsage, with the guard Expression and the declared Succession nested in the TransitionUsage (see 8.2.2.17.8 ).","The checkTransitionUsageActionSpecialization constraint requires that a composite TransitionUsage whose ownedType is an ActionDefinition or ActionUsage, but not a StateDefinition or StateUsage, specialize the ActionUsage Actions::Action::decisionTransitions (see 9.2.10.2.4 ), which is typed by the ActionDefinition Actions::DecisionTransitionAction (see 9.2.10.2.10 ).",8.4.13.3,SysML2
Control Node (semantics),制御ノード (意味論),A ControlNode is a kind of ActionUsage that has no inherent behavior but is used to control other Actions within a containing Action.,"The checkControlNodeSpecialization requires that a ControlNode specialize the ActionUsage Actions::Action::controls (see 9.2.10.2.4 ), which is defined by the ActionDefinition Actions::ControlAction (see 9.2.10.2.8 ) and subsets the composite ActionUsage Actions::Action::subactions (further implying that a ControlNode must be composite).",8.4.13.4,SysML2
Send Action Usage (semantics),送信アクション使用 (意味論),A SendActionUsage is a kind of ActionUsage that specifies the sending of a payload given by the result of its payloadArgument Expression via a MessageTransfer whose source is given by the result of the senderArgument Expression and whose target is given by the receiverArgument Expression.,"The checkSendActionUsageSpecialization requires that a SendActionUsage specialize the ActionUsage Actions::sendActions (see 9.2.10.2.23 ), which is defined by the ActionDefinition Actions::SendAction (see 9.2.10.2.22 ) and subsets the ActionUsage Actions::actions (see 9.2.10.2.5 ) and the kernel Feature Transfers::sendPerformances (see [KerML, 9.2.7]).",8.4.13.5,SysML2
Accept Action Usage (semantics),受信アクション使用 (意味論),An AcceptActionUsage is a kind of ActionUsage that specifies the acceptance of an incomingTransfer from the Occurrence given by the result of its receiverArgument Expression.,"The checkAcceptActionUsageSpecialization requires that (unless it is the triggerAction of a TransitionUsage, see 8.4.14.3 ) an AcceptActionUsage specialize the ActionUsage Actions::acceptActions (see 9.2.10.2.2 ), which is defined by the ActionDefinition Actions::AcceptAction (see 9.2.10.2.1 ) and subsets Actions::Action::actions (see 9.2.10.2.5 ) and the kernel Feature Transfers::acceptPerformances (see [KerML, 9.2.7]).",8.4.13.6,SysML2
Assignment Action Usage (semantics),割り当てアクション使用 (意味論),"An AssignmentActionUsage is an ActionUsage that is defined, directly or indirectly, by the ActionDefinition AssignmentAction from the Systems Model Library.","The checkAssignmentActionUsageSpecialization requires that an AssignmentActionUsage specialize the ActionUsage Actions::assignmentActions (see 9.2.10.2.7 ), which is defined by the ActionDefinition Actions::AssignmentAction (see 9.2.10.2.6 ) and subsets Actions::Action::actions (see 9.2.10.2.5 ).",8.4.13.7,SysML2
Terminate Action Usage (semantics),終了アクション使用 (意味論),"A TerminateActionUsage is an ActionUsage that directly or indirectly specializes the ActionDefinition TerminateAction from the Systems Model Library, which causes a given terminatedOccurrence to end during its performance.","The checkTerminateActionUsageSpecialization requires that a TerminateActionUsage specialize the ActionUsage Actions::terminateActions (see 9.2.10.2.25 ), which is defined by the ActionDefinition Actions::TerminateAction (see 9.2.10.2.24 ) and subsets Actions::Action::actions (see 9.2.10.2.5 ).",8.4.13.8,SysML2
If Action Usage (semantics),Ifアクション使用 (意味論),An IfActionUsage is a kind of ActionUsage that specifies that the thenAction ActionUsage should be performed if the result of the ifArgument Expression is true.,"The checkIfActionUsageSpecialization requires that If an IfActionUsage does not have an elseAction, it specialize the ActionUsage Actions::ifThenActions (see 9.2.10.2.15 ), which is defined by the ActionDefinition Actions::IfThenAction (see 9.2.10.2.14 ) and subsets Actions::Action::actions (see 9.2.10.2.5 ).",8.4.13.9,SysML2
Loop Action Usage (semantics),ループアクション使用 (意味論),A LoopActionUsage is a kind of ActionUsage that specifies that its bodyAction ActionUsage should be performed repeatedly.,"The checkWhileLoopActionUsageSpecialization requires that a WhileLoopActionUsage specialize the ActionUsage Actions::whileLoopActions (see 9.2.10.2.29 ), which is defined by the ActionDefinition Actions::WhileLoopAction (see 9.2.10.2.28 ) and (indirectly) subsets Actions::Action::actions (see 9.2.10.2.5 ).",8.4.13.10,SysML2
Perform Action Usage (semantics),実行アクション使用 (意味論),A PerformActionUsage is a kind of ActionUsage and a kind of EventOccurrenceUsage.,"The checkPerformActionUsageSpecialization constraint requires that if a PerformActionUsage is an ownedFeature of a PartDefinition or PartUsage, then it must directly or indirectly specialize the ActionUsage Parts::Part::performedActions.",8.4.13.11,SysML2
State Definition (semantics),状態定義 (意味論),A StateDefinition is a kind of ActionDefinition.,"The checkStateDefinitionSpecialization constraint requires that a StateDefinition specialize the base StateDefinition States::StateAction (see 9.2.11.2.1 ), which specializes the ActionDefinition Actions::Action (see 9.2.10.2.4 ) and the kernel Behavior StatePerformances::StatePerformance (see [KerML, 9.2.6]).",8.4.14.1,SysML2
State Usage (semantics),状態使用 (意味論),A StateUsage is a kind of ActionUsage.,"The checkStateUsageSpecialization requires that a StateUsage specialize the base StateUsage States::stateActions (see 9.2.11.2.2 ), which is defined by the StateDefinition States::StateAction (see 9.2.11.2.1 ) and subsets the ActionUsage Actions::actions (see 9.2.10.2.5 ).",8.4.14.2,SysML2
Transition Usage (semantics),遷移使用 (意味論),A TransitionUsage is a kind of ActionUsage.,"The checkTransitionUsageSpecialization requires that a TransitionUsage specialize the ActionUsage Actions::transitionActions (see 9.2.10.2.27 ), which is defined by the ActionDefinition Actions::TransitionAction (see 9.2.10.2.26 ) and subsets the ActionUsage Actions::actions (see 9.2.10.2.5 ).",8.4.14.3,SysML2
Exhibit State Usage (semantics),状態表示使用 (意味論),An ExhibitStateUsage is a kind of StateUsage and a kind of PerformActionUsage.,"The checkExhibitStateUsageSpecialization constraint requires that if an ExhibitStateUsage is an ownedFeature of a PartDefinition or PartUsage, then it must directly or indirectly specialize the StateUsage Parts::Part::exhibitStates (see 9.2.4.2.1 ), which subsets State::states (see 7.18 ) and Parts::Part::performedActions.",8.4.14.4,SysML2
Calculation Definition (semantics),計算定義 (意味論),A CalculationDefinition is a kind of ActionDefinition and a kind of KerML Function.,"The checkCalculationDefinitionSpecialization constraint requires that a CalculationDefinition specialize the base CalculationDefinition Calculations::Calculation (see 9.2.12.2.1 ), which subclassifies the ActionDefinition Actions::Action (see 9.2.10.2.4 ) and the kernel Behavior Performances::Evaluation (see [KerML, 9.2.6]).",8.4.15.1,SysML2
Calculation Usage (semantics),計算使用 (意味論),A CalculationUsage is a kind of ActionUsage and a kind of KerML Expression.,"The checkCalculationUsageSpecialization requires that a CalculationUsage specialize the base CalculationUsage Calculations::calculations (see 9.2.12.2.2 ), which is defined by the CalculationDefinition Calculations::Calculation (see 9.2.12.2.1 ) and subsets the ActionUsage Actions::actions (see 9.2.10.2.4 ) and the kernel Step Performances::evaluations (see [KerML, 9.2.6]).",8.4.15.2,SysML2
Constraint Definition (semantics),制約定義 (意味論),A ConstraintDefinition is a kind of OccurrenceDefinition and a kind of KerML Predicate.,"The checkConstraintDefinitionSpecialization constraint requires that a ConstraintDefinition specialize the base ConstraintDefinition Constraints::ConstraintCheck (see 9.2.10.2.4 ), which subclassifies the kernel Predicate Performances::BooleanEvaluation (see [KerML, 9.2.6]).",8.4.16.1,SysML2
Constraint Usage (semantics),制約使用 (意味論),A ConstraintUsage is a kind of OccurrenceUsage and a kind of KerML Expression.,"The checkConstraintUsageSpecialization requires that a ConstraintUsage specialize the base ConstraintUsage Constraints::constraintChecks (see 9.2.13.2.3 ), which is defined by the ConstraintDefinition Constraints::ConstraintCheck (see 9.2.13.2.2 ) and subsets the kernel Step Performances::booleanEvaluations (see [KerML, 9.2.6]).",8.4.16.2,SysML2
Assert Constraint Usage (semantics),アサート制約使用 (意味論),An AssertConstraintUsage is a kind of ConstraintUsage and a kind of KerML Invariant.,"The checkAssertConstraintUsageSpecialization constraint requires that an AssertConstraintUsage specialize one of the following: If the AssertConstraintUsage is not negated, ConstraintUsage Constraints::assertedConstraintChecks (see 9.2.13.2.1 ), which subsets the ConstraintUsage Constraints::constraintChecks (see 9.2.13.2.3 ) and the kernel Expression Performances::trueEvaluations (see [KerML, 9.2.6]).",8.4.16.3,SysML2
Requirement Definition (semantics),要求定義 (意味論),A RequirementDefinition is a kind of ConstraintDefinition.,"The checkRequirementDefinitionSpecialization constraint requires that a RequirementDefinition specialize the base RequirementDefinition Requirements::RequirementCheck (see 9.2.14.2.8 ), which specializes the ConstraintDefinition Constraints::ConstraintCheck (see 9.2.13.2.2 ).",8.4.17.1,SysML2
Requirement Usage (semantics),要求使用 (意味論),A RequirementUsage is a kind of ConstraintUsage.,"The checkRequirementUsageSpecialization requires that a RequirementUsage specialize the base RequirementUsage Requirements::requirementChecks (see 9.2.14.2.9 ), which subsets Constraints::constraintChecks (see 9.2.13.2.3 ).",8.4.17.2,SysML2
Satisfy Requirement Usage (semantics),要求充足使用 (意味論),A SatisfyRequirementUsage is a kind of RequirementUsage and a kind of AssertConstraintUsage.,"The checkSatisfyRequirementUsageBindingConnector constraint requires that a SatisfyRequirementUsage have a BindingConnector between its subjectParameter and some other Feature, which is then considered to be the satisfyingFeature of the SatisfyRequirementUsage.",8.4.17.3,SysML2
Concern Definition (semantics),関心事定義 (意味論),A ConcernDefinition is a kind of RequirementDefinition.,"The checkConcernDefinitionSpecialization constraint requires that a ConcernDefinition specialize the base ConcernDefinition Requirements::ConcernCheck (see 9.2.14.2.1 ), which specializes the RequirementDefinition Requirements::RequirementCheck (see 9.2.14.2.8 ).",8.4.17.4,SysML2
Concern Usage (semantics),関心事使用 (意味論),A ConcernUsage is a kind of RequirementUsage.,"The checkConcernUsageSpecialization requires that a ConcernUsage specialize the base ConcernUsage Requirements::concernChecks (see 9.2.14.2.2 ), which subsets Requirements::requirementChecks (see 9.2.14.2.9 ).",8.4.17.5,SysML2
Case Definition (semantics),ケース定義 (意味論),A CaseDefinition is a kind of CalculationDefinition.,"The checkCaseDefinitionSpecialization constraint requires that a CaseDefinition specialize the base CaseDefinition Cases::Case (see 9.2.15.2.1 ), which subclassifies the CalculationDefinition Calculations::Calculation (see 9.2.12.2.1 ).",8.4.18.1,SysML2
Case Usage (semantics),ケース使用 (意味論),A CaseUsage is a kind of CalculationUsage.,"The checkCaseUsageSpecialization requires that a CaseUsage specialize the base CaseUsage Cases::cases (see 9.2.15.2.2 ), which is defined by the CaseDefinition Cases::Case (see 9.2.15.2.1 ) and subsets the CalculationUsage Calculations::calculations (see 9.2.10.2.4 ).",8.4.18.2,SysML2
Analysis Case Definition (semantics),分析ケース定義 (意味論),An AnalysisCaseDefinition is a kind of CaseDefinition.,"The checkAnalysisCaseDefinitionSpecialization constraint requires that an AnalysisCaseDefinition specialize the base AnalysisCaseDefinition AnalysisCases::AnalysisCase (see 9.2.16.2.1 ), which subclassifies the CaseDefinition Cases::Case (see 9.2.15.2.1 ).",8.4.19.1,SysML2
Analysis Case Usage (semantics),分析ケース使用 (意味論),An AnalysisCaseUsage is a kind of CaseUsage.,"The checkAnalysisCaseUsageSpecialization constraint requires that an AnalysisCaseUsage specialize the base AnalysisCaseUsage AnalysisCases::analysisCases (see 9.2.16.2.2 ), which is defined by the AnalysisCaseDefinition AnalysisCases::AnalysisCase (see 9.2.16.2.1 ) and subsets the CaseUsage Cases::cases (see 9.2.15.2.2 ).",8.4.19.2,SysML2
Verification Case Definition (semantics),検証ケース定義 (意味論),A VerificationCaseDefinition is a kind of CaseDefinition.,"The checkVerificationCaseDefinitionSpecialization constraint requires that a VerificationCaseDefinition specialize the base VerificationCaseDefinition VerificationCases::VerificationCase (see 9.2.17.2.3 ), which subclassifies the CaseDefinition Cases::Case (see 9.2.15.2.1 ).",8.4.20.1,SysML2
Verification Case Usage (semantics),検証ケース使用 (意味論),A VerificationCaseUsage is a kind of CaseUsage.,"The checkVerificationCaseUsageSpecialization constraint requires that a VerificationCaseUsage specialize the base VerificationCaseUsage VerificationCases::verificationCases (see 9.2.17.2.4 ), which is defined by the VerificationCaseDefinition VerificationCases::VerificationCase (see 9.2.17.2.3 ) and subsets the CaseUsage Cases::cases (see 9.2.15.2.2 ).",8.4.20.2,SysML2
Use Case Definition (semantics),ユースケース定義 (意味論),A UseCaseDefinition is a kind of CaseDefinition.,"The checkUseCaseDefinitionSpecialization constraint requires that a UseCaseDefinition specialize the base UseCaseDefinition UseCases::UseCase (see 9.2.18.2.1 ), which subclassifies the CaseDefinition Cases::Case (see 9.2.15.2.1 ).",8.4.21.1,SysML2
Use Case Usage (semantics),ユースケース使用 (意味論),A UseCaseUsage is a kind of CaseUsage.,"The checkUseCaseUsageSpecialization constraint requires that a UseCaseUsage specialize the base UseCaseUsage UseCases::useCases (see 9.2.18.2.2 ), which is defined by the UseCaseDefinition UseCases::UseCase (see 9.2.18.2.1 ) and subsets the CaseUsage Cases::cases (see 9.2.15.2.2 ).",8.4.21.2,SysML2
Include Use Case Usage (semantics),インクルードユースケース使用 (意味論),An IncludeUseCaseUsage is a kind of UseCaseUsage and a kind of PerformActionUsage.,"The checkUseCaseUsageSpecialization constraint requires that if an IncludeUseCaseUsage has an owningType that is a UseCaseDefinition or UseCaseUsage, then it specialize the UseCaseUsage UseCases::UseCase::includedUseCases (see 9.2.18.2.1 ), which subsets UseCases::useCases (see 9.2.18.2.2 ) and the kernel Feature Performances::Performance::enclosedPerformances (see [KerML, 9.2.6]).",8.4.21.3,SysML2
View Definition (semantics),ビュー定義 (意味論),A ViewDefinition is a kind of PartDefinition that specifies how a view artifact is constructed to satisfy a viewpoint.,"The checkViewDefinitionSpecialization constraint requires that a ViewDefinition specialize the base ViewDefinition Views::View (see 9.2.19.2.10 ), which subclassifies Parts::Part (see 9.2.4.2.1 ).",8.4.22.1,SysML2
View Usage (semantics),ビュー使用 (意味論),A ViewUsage is a kind of PartUsage.,The checkViewUsageSpecialization constraint requires that a ViewUsage specialize the base ViewUsage Views::views (see 9.2.19.2.14 ).,8.4.22.2,SysML2
Viewpoint Definition (semantics),ビューポイント定義 (意味論),A ViewpointDefinition is a kind of RequirementDefinition that specifies one or more stakeholder concerns that are to be satisfied by creating a view of a model.,"The checkViewpointDefinitionSpecialization constraint requires that a ViewpointDefinition specialize the base ViewpointDefinition Views::ViewpointCheck (see 9.2.19.2.11 ), which specializes the RequirementDefinition Requirements::RequirementCheck (see 9.2.14.2.8 ).",8.4.22.3,SysML2
Viewpoint Usage (semantics),ビューポイント使用 (意味論),A ViewpointUsage is a kind of RequirementUsage.,"The checkViewpointUsageSpecialization requires that a ViewpointUsage specialize the base ViewpointUsage Views::viewpoints (see 9.2.19.2.12 ), which subsets Requirements::requirementChecks (see 9.2.14.2.9 ).",8.4.22.4,SysML2
Rendering Definition (semantics),レンダリング定義 (意味論),A RenderingDefinition is a kind of PartDefinition that specifies how a view artifact is to be rendered.,"The checkRenderingDefinitionSpecialization constraint requires that a RenderingDefinition specialize the base RenderingDefinition Views::Rendering (see 9.2.19.2.6 ), which subclassifies Parts::Part (see 9.2.4.2.1 ).",8.4.22.5,SysML2
Rendering Usage (semantics),レンダリング使用 (意味論),A RenderingUsage is a kind of PartUsage.,The checkRenderingUsageSpecialization constraint requires that a RenderingUsage specialize the base RenderingUsage Views::rendering (see 9.2.19.2.7 ).,8.4.22.6,SysML2
