Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
DerivedUnit,派生単位,DerivedUnit is a MeasurementUnit that represents a measurement unit that depends on one or more powers of other measurement units.,DerivedUnit is a MeasurementUnit that represents a measurement unit that depends on one or more powers of other measurement units.,9.8.3.2.12,SysML2
DimensionOneUnit,次元1単位,"DimensionOneUnit is an explicit definition of unit of dimension one, also known as dimensionless unit.","DimensionOneUnit is an explicit definition of unit of dimension one, also known as dimensionless unit.",9.8.3.2.14,SysML2
DimensionOneValue,次元1値,A DimensionOneValue is a ScalarQuantityValue with a DimensionOneUnit.,A DimensionOneValue is a ScalarQuantityValue with a DimensionOneUnit.,9.8.3.2.15,SysML2
IntervalScale,区間尺度,"IntervalScale is a MeasurementScale that represents a linear interval measurement scale, i.e. a scale on which only intervals between two values are meaningful and not their ratios.","IntervalScale is a MeasurementScale that represents a linear interval measurement scale, i.e. a scale on which only intervals between two values are meaningful and not their ratios.",9.8.3.2.16,SysML2
LogarithmicScale,対数尺度,LogarithmicScale is a MeasurementScale that represents a logarithmic measurement scale that is defined as follows. The numeric value v of a ratio quantity expressed on a logarithmic scale equivalent with a value x of the same quantity expressed on a ratio scale (i.e. only using a MeasurementUnit) is computed as follows: \(v = f \cdot \log_b (x/x_{ref})^a \).,LogarithmicScale is a MeasurementScale that represents a logarithmic measurement scale that is defined as follows. The numeric value v of a ratio quantity expressed on a logarithmic scale equivalent with a value x of the same quantity expressed on a ratio scale (i.e. only using a MeasurementUnit) is computed as follows: \(v = f \cdot \log_b (x/x_{ref})^a \).,9.8.3.2.17,SysML2
MeasurementScale,測定尺度,MeasurementScale is a MeasurementReference that represents a measurement scale.,MeasurementScale is a MeasurementReference that represents a measurement scale.,9.8.3.2.18,SysML2
MeasurementUnit,測定単位,"A MeasurementUnit is a ScalarMeasurementReference that represents a measurement unit. As defined in [VIM] a measurement unit is a real scalar quantity, defined and adopted by convention, with which any other quantity of the same kind can be compared to express the ratio of the two quantities as a number.",A MeasurementUnit is a ScalarMeasurementReference that represents a measurement unit.,9.8.3.2.19,SysML2
NullTransformation,ヌル変換,NullTransformation is an AffineTransformationMatrix3d that places the target CoordinateFrame at the same position and orientation as the source CoordinateFrame.,NullTransformation is an AffineTransformationMatrix3d that places the target CoordinateFrame at the same position and orientation as the source CoordinateFrame.,9.8.3.2.20,SysML2
OrdinalScale,順序尺度,"An OrdinalScale is a MeasurementScale that represents an ordinal measurement scale, i.e. a scale on which only the ordering of quantity values is meaningful, not the intervals between any pair of values and neither their ratio.","An OrdinalScale is a MeasurementScale that represents an ordinal measurement scale, i.e. a scale on which only the ordering of quantity values is meaningful, not the intervals between any pair of values and neither their ratio.",9.8.3.2.23,SysML2
QuantityValueMapping,量値マッピング,QuantityValueMapping is an AttributeDefinition that represents the mapping of equivalent quantity values expressed on two different measurement scales.,QuantityValueMapping is an AttributeDefinition that represents the mapping of equivalent quantity values expressed on two different measurement scales.,9.8.3.2.24,SysML2
Rotation,回転,Representation of a rotation about an axis over an angle.,Representation of a rotation about an axis over an angle.,9.8.3.2.25,SysML2
ScalarMeasurementReference,スカラー測定参照,A ScalarMeasurementReference is a specialization of VectorMeasurementReference. It represents a single measurement reference for a ScalarQuantityValue or for a component of a tensor or vector quantity.,A ScalarMeasurementReference is a specialization of VectorMeasurementReference.,9.8.3.2.26,SysML2
SimpleUnit,単純単位,SimpleUnit is a MeasurementUnit that does not depend on any other measurement unit.,SimpleUnit is a MeasurementUnit that does not depend on any other measurement unit.,9.8.3.2.27,SysML2
SystemOfUnits,単位系,"A SystemOfUnits represents the essentials of [VIM] concept system of units (https://jcgm.bipm.org/vim/en/1.13.html), defined as a set of base units and derived units, together with their multiples and submultiples, defined in accordance with given rules, for a given system of quantities.","A SystemOfUnits represents the essentials of [VIM] concept system of units (https://jcgm.bipm.org/vim/en/1.13.html), defined as a set of base units and derived units, together with their multiples and submultiples, defined in accordance with given rules, for a given system of quantities.",9.8.3.2.28,SysML2
TensorMeasurementReference,テンソル測定参照,"A TensorMeasurementReference is an abstract AttributeDefinition and a specialization of Collections::Array, that represents the [VIM] concept measurement reference, but generalized for tensor, vector and scalar quantities.","A TensorMeasurementReference is an abstract AttributeDefinition and a specialization of Collections::Array, that represents the [VIM] concept measurement reference, but generalized for tensor, vector and scalar quantities.",9.8.3.2.29,SysML2
Translation,並進,Representation of a translation with respect to a coordinate frame.,Representation of a translation with respect to a coordinate frame.,9.8.3.2.30,SysML2
TranslationOrRotation,並進または回転,TranslationOrRotation is an abstract union of Translation and Rotation,TranslationOrRotation is an abstract union of Translation and Rotation,9.8.3.2.31,SysML2
TranslationRotationSequence,並進回転シーケンス,A TranslationRotationSequence is a coordinate frame transformation specified by a sequence of translations and/or rotations.,A TranslationRotationSequence is a coordinate frame transformation specified by a sequence of translations and/or rotations.,9.8.3.2.32,SysML2
UnitConversion,単位変換,"UnitConversion is an AttributeDefinition that represents a linear conversion relationship between one measurement unit and another measurement unit, that acts as a reference.","UnitConversion is an AttributeDefinition that represents a linear conversion relationship between one measurement unit and another measurement unit, that acts as a reference.",9.8.3.2.33,SysML2
UnitPowerFactor,単位べき乗因数,UnitPowerFactor is an AttributeDefinition that represents a power factor of a MeasurementUnit and an exponent.,UnitPowerFactor is an AttributeDefinition that represents a power factor of a MeasurementUnit and an exponent.,9.8.3.2.34,SysML2
UnitPrefix,単位接頭辞,UnitPrefix is an AttributeDefinition that represents a named multiple or sub-multiple measurement unit prefix as defined in ISO/IEC 80000-1.,UnitPrefix is an AttributeDefinition that represents a named multiple or sub-multiple measurement unit prefix as defined in ISO/IEC 80000-1.,9.8.3.2.35,SysML2
VectorMeasurementReference,ベクトル測定参照,"A VectorMeasurementReference is a specialization of TensorMeasurementReference for vector quantities that are typed by a VectorQuantityValue. Its order is typically one, but can be zero in case of a specialization to ScalarMeasurementReference.",A VectorMeasurementReference is a specialization of TensorMeasurementReference for vector quantities that are typed by a VectorQuantityValue.,9.8.3.2.36,SysML2
amountOfSubstance,物質量,amountOfSubstance is a ScalarQuantityValue attribute usage.,amountOfSubstance is a ScalarQuantityValue attribute usage.,9.8.4.2.1,SysML2
AmountOfSubstanceUnit,物質量単位,AmountOfSubstanceUnit is a SimpleUnit attribute definition.,AmountOfSubstanceUnit is a SimpleUnit attribute definition.,9.8.4.2.2,SysML2
AmountOfSubstanceValue,物質量値,AmountOfSubstanceValue is a ScalarQuantityValue attribute definition.,AmountOfSubstanceValue is a ScalarQuantityValue attribute definition.,9.8.4.2.3,SysML2
AngularMeasureValue,角量値,AngularMeasureValue is a ScalarQuantityValue attribute definition.,AngularMeasureValue is a ScalarQuantityValue attribute definition.,9.8.4.2.4,SysML2
Cartesian3dSpatialCoordinateFrame,3次元直交空間座標系,A Cartesian3dSpatialCoordinateFrame is a Spatial3dCoordinateFrame attribute definition.,A Cartesian3dSpatialCoordinateFrame is a Spatial3dCoordinateFrame attribute definition.,9.8.4.2.5,SysML2
Displacement3dVector,3次元変位ベクトル,Displacement3dVector is a 3dVectorQuantityValue attribute definition.,Displacement3dVector is a 3dVectorQuantityValue attribute definition.,9.8.4.2.6,SysML2
duration,期間,duration is a DurationValue attribute usage.,duration is a DurationValue attribute usage.,9.8.4.2.7,SysML2
DurationUnit,期間単位,DurationUnit is a SimpleUnit attribute definition.,DurationUnit is a SimpleUnit attribute definition.,9.8.4.2.8,SysML2
DurationValue,期間値,DurationValue is a ScalarQuantityValue attribute definition.,DurationValue is a ScalarQuantityValue attribute definition.,9.8.4.2.9,SysML2
electricCurrent,電流,electricCurrent is an ElectricCurrentValue attribute usage.,electricCurrent is an ElectricCurrentValue attribute usage.,9.8.4.2.10,SysML2
ElectricCurrentUnit,電流単位,ElectricCurrentUnit is a SimpleUnit attribute definition.,ElectricCurrentUnit is a SimpleUnit attribute definition.,9.8.4.2.11,SysML2
ElectricCurrentValue,電流値,ElectricCurrentValue is a ScalarQuantityValue attribute definition.,ElectricCurrentValue is a ScalarQuantityValue attribute definition.,9.8.4.2.12,SysML2
length,長さ,length is a LengthValue attribute usage.,length is a LengthValue attribute usage.,9.8.4.2.13,SysML2
LengthUnit,長さ単位,LengthUnit is a SimpleUnit attribute definition.,LengthUnit is a SimpleUnit attribute definition.,9.8.4.2.14,SysML2
LengthValue,長さ値,LengthValue is a ScalarQuantityValue attribute definition.,LengthValue is a ScalarQuantityValue attribute definition.,9.8.4.2.15,SysML2
luminousIntensity,光度,luminousIntensity is a LuminousIntensityValue attribute usage.,luminousIntensity is a LuminousIntensityValue attribute usage.,9.8.4.2.16,SysML2
LuminousIntensityUnit,光度単位,LuminousIntensityUnit is a SimpleUnit attribute definition.,LuminousIntensityUnit is a SimpleUnit attribute definition.,9.8.4.2.17,SysML2
LuminousIntensityValue,光度値,LuminousIntensityValue is a ScalarQuantityValue attribute definition.,LuminousIntensityValue is a ScalarQuantityValue attribute definition.,9.8.4.2.18,SysML2
mass,質量,mass is a MassValue attribute usage.,mass is a MassValue attribute usage.,9.8.4.2.19,SysML2
MassUnit,質量単位,MassUnit is a SimpleUnit attribute definition.,MassUnit is a SimpleUnit attribute definition.,9.8.4.2.20,SysML2
MassValue,質量値,MassValue is a ScalarQuantityValue attribute definition.,MassValue is a ScalarQuantityValue attribute definition.,9.8.4.2.21,SysML2
Position3dVector,3次元位置ベクトル,Position3dVector is a 3dVectorQuantityValue attribute definition.,Position3dVector is a 3dVectorQuantityValue attribute definition.,9.8.4.2.22,SysML2
Spatial3dCoordinateFrame,3次元空間座標系,Spatial3dCoordinateFrame is a 3dCoordinateFrame attribute definition.,Spatial3dCoordinateFrame is a 3dCoordinateFrame attribute definition.,9.8.4.2.23,SysML2
thermodynamicTemperature,熱力学温度,thermodynamicTemperature is a ThermodynamicTemperatureValue attribute usage.,thermodynamicTemperature is a ThermodynamicTemperatureValue attribute usage.,9.8.4.2.24,SysML2
ThermodynamicTemperatureUnit,熱力学温度単位,ThermodynamicTemperatureUnit is a SimpleUnit attribute definition.,ThermodynamicTemperatureUnit is a SimpleUnit attribute definition.,9.8.4.2.25,SysML2
ThermodynamicTemperatureValue,熱力学温度値,ThermodynamicTemperatureValue is a ScalarQuantityValue attribute definition.,ThermodynamicTemperatureValue is a ScalarQuantityValue attribute definition.,9.8.4.2.26,SysML2
universalCartesianSpatial3dCoordinateFrame,普遍的3次元直交空間座標系,A singleton CartesianSpatial3dCoordinateFrame that can be used as a default universal Cartesian 3D coordinate frame.,A singleton CartesianSpatial3dCoordinateFrame that can be used as a default universal Cartesian 3D coordinate frame.,9.8.4.2.27,SysML2
yocto,ヨクト,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,yocto y 10-24,9.8.5.1,SysML2
zepto,ゼプト,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,zepto z 10-21,9.8.5.1,SysML2
atto,アト,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,atto a 10-18,9.8.5.1,SysML2
femto,フェムト,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,femto f 10-15,9.8.5.1,SysML2
pico,ピコ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,pico p 10-12,9.8.5.1,SysML2
nano,ナノ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,nano n 10-9,9.8.5.1,SysML2
micro,マイクロ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,micro μ 10-6,9.8.5.1,SysML2
milli,ミリ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,milli m 10-3,9.8.5.1,SysML2
centi,センチ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,centi c 10-2,9.8.5.1,SysML2
deci,デシ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,deci d 10-1,9.8.5.1,SysML2
deca,デカ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,deca da 101,9.8.5.1,SysML2
hecto,ヘクト,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,hecto h 102,9.8.5.1,SysML2
kilo,キロ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,kilo k 103,9.8.5.1,SysML2
mega,メガ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,mega M 106,9.8.5.1,SysML2
giga,ギガ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,giga G 109,9.8.5.1,SysML2
tera,テラ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,tera T 1012,9.8.5.1,SysML2
peta,ペタ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,peta P 1015,9.8.5.1,SysML2
exa,エクサ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,exa E 1018,9.8.5.1,SysML2
zetta,ゼタ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,zetta Z 1021,9.8.5.1,SysML2
yotta,ヨタ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,yotta Y 1024,9.8.5.1,SysML2
kibi,キビ,"ISO/IEC 80000-1 prefixes for binary multiples, i.e. multiples of 1024 (= 210).",kibi Ki 1024,9.8.5.1,SysML2
mebi,メビ,"ISO/IEC 80000-1 prefixes for binary multiples, i.e. multiples of 1024 (= 210).",mebi Mi 10242,9.8.5.1,SysML2
gibi,ギビ,"ISO/IEC 80000-1 prefixes for binary multiples, i.e. multiples of 1024 (= 210).",gibi Gi 10243,9.8.5.1,SysML2
tebi,テビ,"ISO/IEC 80000-1 prefixes for binary multiples, i.e. multiples of 1024 (= 210).",tebi Ti 10244,9.8.5.1,SysML2
pebi,ペビ,"ISO/IEC 80000-1 prefixes for binary multiples, i.e. multiples of 1024 (= 210).",pebi Pi 10245,9.8.5.1,SysML2
exbi,エクスビ,"ISO/IEC 80000-1 prefixes for binary multiples, i.e. multiples of 1024 (= 210).",exbi Ei 10246,9.8.5.1,SysML2
zebi,ゼビ,"ISO/IEC 80000-1 prefixes for binary multiples, i.e. multiples of 1024 (= 210).",zebi Zi 10247,9.8.5.1,SysML2
yobi,ヨビ,"ISO/IEC 80000-1 prefixes for binary multiples, i.e. multiples of 1024 (= 210).",yobi Yi 10248,9.8.5.1,SysML2
Clock,クロック,A Clock provides a currentTime as a TimeInstantValue that advances montonically over its lifetime.,A Clock provides a currentTime as a TimeInstantValue that advances montonically over its lifetime.,9.8.8.2.1,SysML2
currentTime,現在時刻,A numerical time reference that advances over the lifetime of the Clock.,A numerical time reference that advances over the lifetime of the Clock.,9.8.8.2.1,SysML2
Date,日付,Generic representation of a time instant as a calendar date.,Generic representation of a time instant as a calendar date.,9.8.8.2.2,SysML2
DateTime,日時,Generic representation of a time instant as a calendar date and time of day.,Generic representation of a time instant as a calendar date and time of day.,9.8.8.2.3,SysML2
DurationOf,期間の,"DurationOf returns the duration of a given Occurrence relative to a given Clock, which is equal to the TimeOf the end snapshot of the Occurrence minus the TimeOf its start snapshot.","DurationOf returns the duration of a given Occurrence relative to a given Clock, which is equal to the TimeOf the end snapshot of the Occurrence minus the TimeOf its start snapshot.",9.8.8.2.4,SysML2
Iso8601DateTime,ISO8601日時,Representation of an ISO 8601-1 date and time in extended string format.,Representation of an ISO 8601-1 date and time in extended string format.,9.8.8.2.5,SysML2
Iso8601DateTimeEncoding,ISO8601日時エンコーディング,Extended string encoding of an ISO 8601-1 date and time.,Extended string encoding of an ISO 8601-1 date and time.,9.8.8.2.6,SysML2
Iso8601DateTimeStructure,ISO8601日時構造,Representation of an ISO 8601 date and time with explicit date and time component attributes.,Representation of an ISO 8601 date and time with explicit date and time component attributes.,9.8.8.2.7,SysML2
timeInstant,時間インスタント,Representation of a time instant quantity. Also known as instant (of time) or point in time.,Representation of a time instant quantity. Also known as instant (of time) or point in time.,9.8.8.2.8,SysML2
TimeInstantValue,時間インスタント値,Representation of a time instant quantity. Also known as instant (of time) or point in time.,Representation of a time instant quantity. Also known as instant (of time) or point in time.,9.8.8.2.9,SysML2
TimeOf,時間の,"TimeOf returns a scalar timeValue for a given Occurrence relative to a given Clock. The timeValue is the time of the start of the Occurrence, which is considered to be synchronized with the snapshot of the Clock with a currentTimetimeValue",TimeOf returns a scalar timeValue for a given Occurrence relative to a given Clock.,9.8.8.2.10,SysML2
TimeOfDay,時刻,Generic representation of a time instant as a time of day.,Generic representation of a time instant as a time of day.,9.8.8.2.11,SysML2
TimeScale,時間尺度,"Generic time scale to express a time instant, including a textual definition of the meaning of zero time instant value.","Generic time scale to express a time instant, including a textual definition of the meaning of zero time instant value.",9.8.8.2.12,SysML2
universalClock,普遍的クロック,universalClock is a single Clock that can be used as a default universal time reference.,universalClock is a single Clock that can be used as a default universal time reference.,9.8.8.2.13,SysML2
UTC,UTC,Representation of the Coordinated Universal Time (UTC) time scale.,Representation of the Coordinated Universal Time (UTC) time scale.,9.8.8.2.14,SysML2
utcTimeInstant,UTC時間インスタント,Representation of a time instant expressed on the Coordinated Universal Time (UTC) time scale.,Representation of a time instant expressed on the Coordinated Universal Time (UTC) time scale.,9.8.8.2.15,SysML2
UtcTimeInstantValue,UTC時間インスタント値,Representation of a time instant expressed on the Coordinated Universal Time (UTC) time scale.,Representation of a time instant expressed on the Coordinated Universal Time (UTC) time scale.,9.8.8.2.16,SysML2
Quantity Calculations,量計算,"This library package specifies the mathematical operators and functions to support quantity arithmetic, and some convenience functions.","This library package specifies the mathematical operators and functions to support quantity arithmetic, and some convenience functions.",9.8.9.1,SysML2
ScalarQuantityValue Construction,スカラー量値構築,"Construction of a literal or variable ScalarQuantityValue is done through the [ operator, matched by a closing ]. The signature of the corresponding CalculationDefinition is: calc def '[' specializes BaseFunctions::'[' { in num: Number[1]; in mRef: ScalarMeasurementReference[1]; return quantity : ScalarQuantityValue[1]; }","Construction of a literal or variable ScalarQuantityValue is done through the [ operator, matched by a closing ].",9.8.9.1,SysML2
Vector Calculations,ベクトル計算,"This library package specifies the mathematical operators and functions to support vector quantity arithmetic, and some convenience functions.","This library package specifies the mathematical operators and functions to support vector quantity arithmetic, and some convenience functions.",9.8.10.1,SysML2
VectorQuantityValue Construction,ベクトル量値構築,"Construction of a literal or variable VectorQuantityValue is done through the [ operator, matched by a closing ]. The signature of the corresponding CalculationDefinition is: calc def '[' specializes BaseFunctions::'[' { in num : Number[1..n]; // a sequence of numbers that are the numerical values of the vector in mRef : VectorMeasurementReference[1]; return quantity : VectorQuantityValue[1]; private attribute n = mRef.flattenedSize; }","Construction of a literal or variable VectorQuantityValue is done through the [ operator, matched by a closing ].",9.8.10.1,SysML2
Tensor Calculations,テンソル計算,"This library package specifies the mathematical operators and functions to support tensor quantity arithmetic, and some convenience functions.","This library package specifies the mathematical operators and functions to support tensor quantity arithmetic, and some convenience functions.",9.8.11.1,SysML2
TensorQuantityValue Construction,テンソル量値構築,"Construction of a literal or variable TensorQuantityValue is done through the [ operator, matched by a closing ]. The signature of the corresponding CalculationDefinition is: calc def '[' specializes BaseFunctions::'[' { in num : Number[1..n] ordered; // a sequence of numbers that are the numerical values of the in mRef : TensorMeasurementReference[1]; return quantity : TensorQuantityValue[1]; private attribute n = mRef.flattenedSize; }","Construction of a literal or variable TensorQuantityValue is done through the [ operator, matched by a closing ].",9.8.11.1,SysML2
Measurement Ref Calculations,測定参照計算,"Similar to computations with ScalarQuantityValues and VectorQuantityValues in quantity expressions, it is also possible to create measurement reference expressions to compute with MeasurementUnits and CoordinateFrames.","Similar to computations with ScalarQuantityValues and VectorQuantityValues in quantity expressions, it is also possible to create measurement reference expressions to compute with MeasurementUnits and CoordinateFrames.",9.8.12.1,SysML2
MeasurementUnit and CoordinateFrame Operations,測定単位と座標系演算,The following table enumerates the measurement unit and coordinate frame operations.,The following table enumerates the measurement unit and coordinate frame operations.,9.8.12.1,SysML2
