Term (EN),Equivalent (JP),Definition (EN),Context/Example (EN),Section,File
Redefinition,再定義,"Specialization of elements that specify types, including subclassification, subsetting, redefinition and feature typing (see 7.6 ).","Specialization of elements that specify types, including subclassification, subsetting, redefinition and feature typing (see 7.6 ).",7.1,SysML2
Feature typing,フィーチャタイピング,"Specialization of elements that specify types, including subclassification, subsetting, redefinition and feature typing (see 7.6 ).","Specialization of elements that specify types, including subclassification, subsetting, redefinition and feature typing (see 7.6 ).",7.1,SysML2
Expressions,式,"Expressions can be used to specify calculations, case results, constraints and formal requirements.","SysML directly uses the following concepts from KerML: Expressions can be used to specify calculations, case results, constraints and formal requirements.",7.1,SysML2
Definition and usage,定義と使用,"The general pattern of definition and usage, which is applied to many of the SysML language constructs (see 7.6 ).","Fundamental aspects of constructing a model, including: The general pattern of definition and usage, which is applied to many of the SysML language constructs (see 7.6 ).",7.1,SysML2
Usage element,使用要素,A usage element can be further specialized for its specific context.,"The pattern of definition and usage elements facilitates model reuse, such that a concept can be defined once and then used in many different contexts. A usage element can be further specialized for its specific context.",7.1,SysML2
Variability modeling,可変性モデリング,"The modeling of variability, which includes the definition of variation points within a model where choices can be made to select a specific variant, and the selection of a particular variant may constrain the allowable choices at other variation points.","Fundamental aspects of constructing a model, including: The modeling of variability, which includes the definition of variation points within a model where choices can be made to select a specific variant, and the selection of a particular variant may constrain the allowable choices at other variation points.",7.1,SysML2
Variation points,バリエーションポイント,"The modeling of variability, which includes the definition of variation points within a model where choices can be made to select a specific variant, and the selection of a particular variant may constrain the allowable choices at other variation points.","The modeling of variability, which includes the definition of variation points within a model where choices can be made to select a specific variant, and the selection of a particular variant may constrain the allowable choices at other variation points.",7.1,SysML2
Variant,バリアント,"The modeling of variability, which includes the definition of variation points within a model where choices can be made to select a specific variant, and the selection of a particular variant may constrain the allowable choices at other variation points.","The modeling of variability, which includes the definition of variation points within a model where choices can be made to select a specific variant, and the selection of a particular variant may constrain the allowable choices at other variation points.",7.1,SysML2
Attributes,属性,"Attributes that specify characteristics of something that can be defined by simple or compound data types, and dimensional quantities such as mass, length, etc. (see 7.7 ).","The modeling of attributive information about things, including: Attributes that specify characteristics of something that can be defined by simple or compound data types, and dimensional quantities such as mass, length, etc. (see 7.7 ).",7.1,SysML2
Enumerations,列挙型,Enumerations that are attributes restricted to a specified set of enumerated values (see 7.8 ).,"The modeling of attributive information about things, including: Enumerations that are attributes restricted to a specified set of enumerated values (see 7.8 ).",7.1,SysML2
Occurrences,オカレンス,"The modeling of occurrences with temporal and spatial extent. Temporal extent enables an occurrence to be represented at specific points in time, over a duration in time, or over an entire lifetime. Spatial extent enables an occurrence to be represented at a position and orientation with respect to a coordinate frame, and to have a shape and size (see 7.9 ).","The modeling of occurrences with temporal and spatial extent. Temporal extent enables an occurrence to be represented at specific points in time, over a duration in time, or over an entire lifetime. Spatial extent enables an occurrence to be represented at a position and orientation with respect to a coordinate frame, and to have a shape and size (see 7.9 ).",7.1,SysML2
Individuals,個体,The modeling of individuals with specific identities (see 7.9 ).,The modeling of individuals with specific identities (see 7.9 ).,7.1,SysML2
Items,アイテム,Items that may flow through a process or system or be stored by a system (see 7.10 ).,"The modeling of structure to represent how parts are decomposed, interconnected and classified, and includes: Items that may flow through a process or system or be stored by a system (see 7.10 ).",7.1,SysML2
Parts,パート,"Parts that are the foundational units of structure, which can be composed and interconnected, to form composite parts and entire systems (see 7.11 ).","The modeling of structure to represent how parts are decomposed, interconnected and classified, and includes: Parts that are the foundational units of structure, which can be composed and interconnected, to form composite parts and entire systems (see 7.11 ).",7.1,SysML2
Ports,ポート,Ports that define connection points on parts that enable interactions between parts (see 7.12 ).,"The modeling of structure to represent how parts are decomposed, interconnected and classified, and includes: Ports that define connection points on parts that enable interactions between parts (see 7.12 ).",7.1,SysML2
Connections,コネクション,Connections (see 7.13 ) and interfaces (see 7.14 ) that define how parts and ports are interconnected.,"The modeling of structure to represent how parts are decomposed, interconnected and classified, and includes: Connections (see 7.13 ) and interfaces (see 7.14 ) that define how parts and ports are interconnected.",7.1,SysML2
Interfaces,インターフェース,Connections (see 7.13 ) and interfaces (see 7.14 ) that define how parts and ports are interconnected.,"The modeling of structure to represent how parts are decomposed, interconnected and classified, and includes: Connections (see 7.13 ) and interfaces (see 7.14 ) that define how parts and ports are interconnected.",7.1,SysML2
Allocations,割り当て,Allocations that assign responsibility for realizing the features of one element by another element (see 7.15 ).,"The modeling of structure to represent how parts are decomposed, interconnected and classified, and includes: Allocations that assign responsibility for realizing the features of one element by another element (see 7.15 ).",7.1,SysML2
Behavior,振る舞い,"The modeling of behavior, which specifies how parts interact and includes: Flows of values and items between parts and actions (see 7.16 ).","The modeling of behavior, which specifies how parts interact and includes: Flows of values and items between parts and actions (see 7.16 ).",7.1,SysML2
Flows,フロー,Flows of values and items between parts and actions (see 7.16 ).,"The modeling of behavior, which specifies how parts interact and includes: Flows of values and items between parts and actions (see 7.16 ).",7.1,SysML2
Actions,アクション,"Actions performed by a part, including their temporal ordering (see 7.17 ).","The modeling of behavior, which specifies how parts interact and includes: Actions performed by a part, including their temporal ordering (see 7.17 ).",7.1,SysML2
States,状態,"States exhibited by a part, the allowable transitions between those states, and the actions enabled in a state or during a transition (see 7.18 ).","The modeling of behavior, which specifies how parts interact and includes: States exhibited by a part, the allowable transitions between those states, and the actions enabled in a state or during a transition (see 7.18 ).",7.1,SysML2
Calculations,計算,The modeling of calculations that are parameterized expressions that can be evaluated to produce specific results (see 7.19 ).,The modeling of calculations that are parameterized expressions that can be evaluated to produce specific results (see 7.19 ).,7.1,SysML2
Constraints,制約,"The modeling of constraints, which specify conditions that can be evaluated as true or false, or asserted to be true or false (see 7.20 ).","The modeling of constraints, which specify conditions that can be evaluated as true or false, or asserted to be true or false (see 7.20 ).",7.1,SysML2
Requirements,要求,"The modeling of requirements, which is a special kind of constraint that a subject must satisfy to be a valid solution (see 7.21 ).","The modeling of requirements, which is a special kind of constraint that a subject must satisfy to be a valid solution (see 7.21 ).",7.1,SysML2
Cases,ケース,"The modeling of cases, which define the steps required to produce a desired result relative to a subject, possibly also involving external actors, to achieve a specific objective (see 7.22 ).","The modeling of cases, which define the steps required to produce a desired result relative to a subject, possibly also involving external actors, to achieve a specific objective (see 7.22 ).",7.1,SysML2
Analysis cases,分析ケース,"Analysis cases, whose steps are the actions necessary to analyze a subject (see 7.23 ).","The modeling of cases, which define the steps required to produce a desired result relative to a subject, possibly also involving external actors, to achieve a specific objective (see 7.22 ), including: Analysis cases, whose steps are the actions necessary to analyze a subject (see 7.23 ).",7.1,SysML2
Verification cases,検証ケース,"Verification cases, whose objective is to verify how a requirement is satisfied by the subject (see 7.24 ).","The modeling of cases, which define the steps required to produce a desired result relative to a subject, possibly also involving external actors, to achieve a specific objective (see 7.22 ), including: Verification cases, whose objective is to verify how a requirement is satisfied by the subject (see 7.24 ).",7.1,SysML2
Use cases,ユースケース,"Use cases, that specify required behavior of the subject with the objective of providing a measurable benefit to one or more external actors (see 7.25 ).","The modeling of cases, which define the steps required to produce a desired result relative to a subject, possibly also involving external actors, to achieve a specific objective (see 7.22 ), including: Use cases, that specify required behavior of the subject with the objective of providing a measurable benefit to one or more external actors (see 7.25 ).",7.1,SysML2
Viewpoints,視点 (ビューポイント),"The modeling of viewpoints that specify information of interest by a set of stakeholders, and views that specify a query of the model, and a rendering of the query results, that is intended to satisfy a particular viewpoint (see 7.26 ).","The modeling of viewpoints that specify information of interest by a set of stakeholders, and views that specify a query of the model, and a rendering of the query results, that is intended to satisfy a particular viewpoint (see 7.26 ).",7.1,SysML2
Views,ビュー,"The modeling of viewpoints that specify information of interest by a set of stakeholders, and views that specify a query of the model, and a rendering of the query results, that is intended to satisfy a particular viewpoint (see 7.26 ).","The modeling of viewpoints that specify information of interest by a set of stakeholders, and views that specify a query of the model, and a rendering of the query results, that is intended to satisfy a particular viewpoint (see 7.26 ).",7.1,SysML2
User-defined metadata,ユーザー定義メタデータ,The modeling of user-defined metadata that allows for both simple tagging of elements with additional model-level information and more sophisticated semantic extension of the SysML language.,The modeling of user-defined metadata that allows for both simple tagging of elements with additional model-level information and more sophisticated semantic extension of the SysML language. (See 7.27 .),7.1,SysML2
