Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
Concrete definition,具体定義,A definition that is not abstract is called a concrete definition.,A definition that is not abstract is called a concrete definition.,7.6.2,SysML2
Usage,使用,"A usage is declared using a keyword specific to the kind of usage (e.g., item, part, action, etc.).","A usage is declared using a keyword specific to the kind of usage (e.g., item, part, action, etc.).",7.6.3,SysML2
Feature typing,フィーチャタイピング,Feature typings specify the definitions of a usage (also known as its types).,Feature typings specify the definitions of a usage (also known as its types).,7.6.3,SysML2
Subsetting,サブセッティング,Subsettings specify other usages subsetted by the owning usage.,Subsettings specify other usages subsetted by the owning usage.,7.6.3,SysML2
Redefinition,再定義,Redefinitions specify other usages redefined by the owning usage.,Redefinitions specify other usages redefined by the owning usage.,7.6.3,SysML2
Multiplicity,多重度,"A usage may have a multiplicity that constrains its cardinality, that is, the allowed number of values it may have for any instance of its featuring definition or usage.","A usage may have a multiplicity that constrains its cardinality, that is, the allowed number of values it may have for any instance of its featuring definition or usage.",7.6.3,SysML2
Multiplicity range,多重度範囲,"A multiplicity range is written in the form [lowerBound..upperBound], where each of lowerBound and upperBound is either a literal or the identification of a usage.","A multiplicity range is written in the form [lowerBound..upperBound], where each of lowerBound and upperBound is either a literal or the identification of a usage.",7.6.3,SysML2
Non-unique,非一意,"If a usage is non-unique, then the same value may appear more than once as a value of the usage.","nonunique – If a usage is non-unique, then the same value may appear more than once as a value of the usage.",7.6.3,SysML2
Ordered,順序付き,"If a usage is ordered, then the values of the usage can be placed in order, indexed from 1 to the number of values.","ordered – If a usage is ordered, then the values of the usage can be placed in order, indexed from 1 to the number of values.",7.6.3,SysML2
Referential usage,参照使用,A referential usage represents a simple reference between a featuring instance and one or more values.,A usage may be referential or composite. A referential usage represents a simple reference between a featuring instance and one or more values.,7.6.3,SysML2
Composite usage,複合使用,"A composite usage, on the other hand, indicates that the related instance is integral to the structure of the containing instance.","A composite usage, on the other hand, indicates that the related instance is integral to the structure of the containing instance.",7.6.3,SysML2
Derived,導出,Specifies that the usage is derived.,derived – Specifies that the usage is derived.,7.6.3,SysML2
Abstract (usage),抽象 (使用),Specifies that the usage is abstract. A usage that is not abstract is called a concrete usage.,abstract – Specifies that the usage is abstract.,7.6.3,SysML2
Constant (usage),定数 (使用),Specifies that the usage is constant. Values of a constant usage are the same during the entire existence of the featuring instance.,constant – Specifies that the usage is constant.,7.6.3,SysML2
Ref (keyword),参照 (キーワード),Specifies that the usage is referential.,ref – Specifies that the usage is referential.,7.6.3,SysML2
In (direction),入力 (方向),"Things ""outside"" the featuring instance. These usages identify things input to an instance.","in – Things ""outside"" the featuring instance. These usages identify things input to an instance.",7.6.3,SysML2
Out (direction),出力 (方向),"The featuring instance itself or things ""inside"" it. These usages identify things output by an instance.","out – The featuring instance itself or things ""inside"" it. These usages identify things output by an instance.",7.6.3,SysML2
Inout (direction),入出力 (方向),"Both things ""outside"" and ""inside"" the featuring instance. These usages identify things that are both input to and output by an instance.","inout – Both things ""outside"" and ""inside"" the featuring instance. These usages identify things that are both input to and output by an instance.",7.6.3,SysML2
Reference usage,参照使用,"A reference usage is a usage that is declared without any kind keyword. Unlike other kinds of usages, the definitions (types) of a reference usage are not restricted to be of a particular kind.",A reference usage is a usage that is declared without any kind keyword.,7.6.4,SysML2
Effective name,有効名,"If a name and/or short name are declared for an element, these are used in the name resolution process to identify the element (as discussed in 7.6.1 ). However, if neither a name or a short name are given in the declaration of a usage with an owned redefinition, then its effective name and short name are implicitly determined by the name and short name of the redefining usage of its first owned redefinition (which may itself be an implicit name, if the redefined usage is itself a redefining usage).","If a name and/or short name are declared for an element, these are used in the name resolution process to identify the element (as discussed in 7.6.1 ).",7.6.5,SysML2
Feature chain,フィーチャチェーン,A feature chain is a textual notation specified as a sequence of two or more qualified names separated by dot (.) symbols.,A feature chain is a textual notation specified as a sequence of two or more qualified names separated by dot (.) symbols.,7.6.6,SysML2
Variation,バリエーション,A definition or usage is specified as a variation by placing the keyword variation before its kind keyword.,A definition or usage is specified as a variation by placing the keyword variation before its kind keyword.,7.6.7,SysML2
Variant usage,バリアント使用,All usages declared within the body of a variation definition or usage are declared as variant usages by placing the keyword variant at the beginning of their declarations.,All usages declared within the body of a variation definition or usage are declared as variant usages by placing the keyword variant at the beginning of their declarations.,7.6.7,SysML2
Implicit specialization,暗黙的特殊化,"if a definition or usage, as explicitly declared, does not directly or indirectly specialize the required base definition or usage, then the declaration is considered to include an implicit subclassification or subsetting of the appropriate base definition or usage.","if a definition or usage, as explicitly declared, does not directly or indirectly specialize the required base definition or usage, then the declaration is considered to include an implicit subclassification or subsetting of the appropriate base definition or usage.",7.6.8,SysML2
